Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Capital Region,2024/12/01,25-34 years,Males,91.513873
Capital Region,2024/12/01,25-34 years,Females,82.48882063
Capital Region,2024/12/01,35-44 years,Males,90.07869558
Capital Region,2024/12/01,35-44 years,Females,86.43916478
Capital Region,2024/12/01,45-54 years,Males,83.37109878
Capital Region,2024/12/01,45-54 years,Females,81.28072004
Capital Region,2024/12/01,55-64 years,Males,65.56990042
Capital Region,2024/12/01,55-64 years,Females,65.90419712
Capital Region,2024/12/01,65 years and over,Males,20.12100159
Capital Region,2024/12/01,65 years and over,Females,15.146678
Capital Region,2024/11/01,15-24 years,Males,70.23283883
Capital Region,2024/11/01,15-24 years,Females,72.32106785
Capital Region,2024/11/01,25-34 years,Males,91.09498463
Capital Region,2024/11/01,25-34 years,Females,82.00068028
Capital Region,2024/11/01,35-44 years,Males,89.76362277
Capital Region,2024/11/01,35-44 years,Females,86.03047304
Capital Region,2024/11/01,45-54 years,Males,83.02389341
Capital Region,2024/11/01,45-54 years,Females,81.00174884
Capital Region,2024/11/01,55-64 years,Males,64.89717133
Capital Region,2024/11/01,55-64 years,Females,65.10603355
Capital Region,2024/11/01,65 years and over,Males,20.22725965
Capital Region,2024/11/01,65 years and over,Females,14.91914161
Capital Region,2024/10/01,15-24 years,Males,69.90868071
Capital Region,2024/10/01,15-24 years,Females,71.50510368
Capital Region,2024/10/01,25-34 years,Males,90.67884518
Capital Region,2024/10/01,25-34 years,Females,81.76978889
Capital Region,2024/10/01,35-44 years,Males,89.45608446
Capital Region,2024/10/01,35-44 years,Females,85.74060318
Capital Region,2024/10/01,45-54 years,Males,82.71011782
Capital Region,2024/10/01,45-54 years,Females,80.75685437
Capital Region,2024/10/01,55-64 years,Males,64.37343183
Capital Region,2024/10/01,55-64 years,Females,64.10093505
Capital Region,2024/10/01,65 years and over,Males,19.95199098
Capital Region,2024/10/01,65 years and over,Females,14.25093619
Capital Region,2024/09/01,15-24 years,Males,70.2613548
Capital Region,2024/09/01,15-24 years,Females,71.49376571
Capital Region,2024/09/01,25-34 years,Males,90.62511501
Capital Region,2024/09/01,25-34 years,Females,82.35796485
Capital Region,2024/09/01,35-44 years,Males,89.67601592
Capital Region,2024/09/01,35-44 years,Females,86.01717005
Capital Region,2024/09/01,45-54 years,Males,83.14395354
Capital Region,2024/09/01,45-54 years,Females,81.27030333
Capital Region,2024/09/01,55-64 years,Males,65.16378093
Capital Region,2024/09/01,55-64 years,Females,64.37596062
Capital Region,2024/09/01,65 years and over,Males,20.59410029
Capital Region,2024/09/01,65 years and over,Females,14.00148162
Capital Region,2024/08/01,15-24 years,Males,69.13145021
Capital Region,2024/08/01,15-24 years,Females,70.67218577
Capital Region,2024/08/01,25-34 years,Males,90.31545623
Capital Region,2024/08/01,25-34 years,Females,82.46712284
Capital Region,2024/08/01,35-44 years,Males,89.35662635
Capital Region,2024/08/01,35-44 years,Females,85.70710048
Capital Region,2024/08/01,45-54 years,Males,82.99478341
Capital Region,2024/08/01,45-54 years,Females,81.15744638
Capital Region,2024/08/01,55-64 years,Males,65.14467043
Capital Region,2024/08/01,55-64 years,Females,63.98754565
Capital Region,2024/08/01,65 years and over,Males,20.78424252
Capital Region,2024/08/01,65 years and over,Females,13.42345696
Capital Region,2024/07/01,15-24 years,Males,69.83756146
Capital Region,2024/07/01,15-24 years,Females,71.53125682
Capital Region,2024/07/01,25-34 years,Males,90.77239697
Capital Region,2024/07/01,25-34 years,Females,83.40231482
Capital Region,2024/07/01,35-44 years,Males,89.44164558
Capital Region,2024/07/01,35-44 years,Females,86.06892088
Capital Region,2024/07/01,45-54 years,Males,83.53629176
Capital Region,2024/07/01,45-54 years,Females,81.3785868
Capital Region,2024/07/01,55-64 years,Males,66.06721616
Capital Region,2024/07/01,55-64 years,Females,64.44043343
Capital Region,2024/07/01,65 years and over,Males,21.54689763
Capital Region,2024/07/01,65 years and over,Females,13.18305464
Capital Region,2024/06/01,15-24 years,Males,70.08161176
Capital Region,2024/06/01,15-24 years,Females,71.28688139
Capital Region,2024/06/01,25-34 years,Males,91.06968022
Capital Region,2024/06/01,25-34 years,Females,83.46243253
Capital Region,2024/06/01,35-44 years,Males,89.14451463
Capital Region,2024/06/01,35-44 years,Females,85.99420966
Capital Region,2024/06/01,45-54 years,Males,83.53134938
Capital Region,2024/06/01,45-54 years,Females,80.97244839
Capital Region,2024/06/01,55-64 years,Males,66.22090113
Capital Region,2024/06/01,55-64 years,Females,63.90471094
Capital Region,2024/06/01,65 years and over,Males,21.78400541
Capital Region,2024/06/01,65 years and over,Females,12.64805814
Capital Region,2024/05/01,15-24 years,Males,70.80912356
Capital Region,2024/05/01,15-24 years,Females,71.87596223
Capital Region,2024/05/01,25-34 years,Males,91.66240858
Capital Region,2024/05/01,25-34 years,Females,83.62308173
Capital Region,2024/05/01,35-44 years,Males,89.07464407
Capital Region,2024/05/01,35-44 years,Females,86.16018154
Capital Region,2024/05/01,45-54 years,Males,83.98844442
Capital Region,2024/05/01,45-54 years,Females,81.2186425
Capital Region,2024/05/01,55-64 years,Males,67.0396897
Capital Region,2024/05/01,55-64 years,Females,63.91158329
Capital Region,2024/05/01,65 years and over,Males,21.8910791
Capital Region,2024/05/01,65 years and over,Females,12.32930992
Capital Region,2024/04/01,15-24 years,Males,70.50908535
