Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Sydney - South West,2014/10/01,65 years and over,Males,12.89542276
Sydney - South West,2014/10/01,65 years and over,Females,5.484053149
Sydney - South West,2014/09/01,15-24 years,Males,41.55525041
Sydney - South West,2014/09/01,15-24 years,Females,41.26074406
Sydney - South West,2014/09/01,25-34 years,Males,80.7126502
Sydney - South West,2014/09/01,25-34 years,Females,58.61525661
Sydney - South West,2014/09/01,35-44 years,Males,81.6880809
Sydney - South West,2014/09/01,35-44 years,Females,58.9860204
Sydney - South West,2014/09/01,45-54 years,Males,76.75003528
Sydney - South West,2014/09/01,45-54 years,Females,55.16583947
Sydney - South West,2014/09/01,55-64 years,Males,59.91926156
Sydney - South West,2014/09/01,55-64 years,Females,38.44242117
Sydney - South West,2014/09/01,65 years and over,Males,13.05799438
Sydney - South West,2014/09/01,65 years and over,Females,5.614968188
Sydney - South West,2014/08/01,15-24 years,Males,41.24723655
Sydney - South West,2014/08/01,15-24 years,Females,41.33743492
Sydney - South West,2014/08/01,25-34 years,Males,80.21301632
Sydney - South West,2014/08/01,25-34 years,Females,58.85272008
Sydney - South West,2014/08/01,35-44 years,Males,82.59410199
Sydney - South West,2014/08/01,35-44 years,Females,59.1526802
Sydney - South West,2014/08/01,45-54 years,Males,77.52669532
Sydney - South West,2014/08/01,45-54 years,Females,55.6618323
Sydney - South West,2014/08/01,55-64 years,Males,60.04026275
Sydney - South West,2014/08/01,55-64 years,Females,38.86055569
Sydney - South West,2014/08/01,65 years and over,Males,13.36704238
Sydney - South West,2014/08/01,65 years and over,Females,5.774162103
Sydney - South West,2014/07/01,15-24 years,Males,41.84665806
Sydney - South West,2014/07/01,15-24 years,Females,41.66298811
Sydney - South West,2014/07/01,25-34 years,Males,79.53839941
Sydney - South West,2014/07/01,25-34 years,Females,58.21610572
Sydney - South West,2014/07/01,35-44 years,Males,82.92987942
Sydney - South West,2014/07/01,35-44 years,Females,58.57375049
Sydney - South West,2014/07/01,45-54 years,Males,77.71214242
Sydney - South West,2014/07/01,45-54 years,Females,55.36090134
Sydney - South West,2014/07/01,55-64 years,Males,59.63411815
Sydney - South West,2014/07/01,55-64 years,Females,38.78663095
Sydney - South West,2014/07/01,65 years and over,Males,13.49303224
Sydney - South West,2014/07/01,65 years and over,Females,5.806040648
Sydney - South West,2014/06/01,15-24 years,Males,41.61184473
Sydney - South West,2014/06/01,15-24 years,Females,41.18541573
Sydney - South West,2014/06/01,25-34 years,Males,79.56971822
Sydney - South West,2014/06/01,25-34 years,Females,57.62089955
Sydney - South West,2014/06/01,35-44 years,Males,83.18220054
Sydney - South West,2014/06/01,35-44 years,Females,57.79689518
Sydney - South West,2014/06/01,45-54 years,Males,77.4646646
Sydney - South West,2014/06/01,45-54 years,Females,55.34472418
Sydney - South West,2014/06/01,55-64 years,Males,58.75971413
Sydney - South West,2014/06/01,55-64 years,Females,38.16453377
Sydney - South West,2014/06/01,65 years and over,Males,13.35861896
Sydney - South West,2014/06/01,65 years and over,Females,5.672869467
Sydney - South West,2014/05/01,15-24 years,Males,41.19209642
Sydney - South West,2014/05/01,15-24 years,Females,41.37663347
Sydney - South West,2014/05/01,25-34 years,Males,79.01068398
Sydney - South West,2014/05/01,25-34 years,Females,57.41266591
Sydney - South West,2014/05/01,35-44 years,Males,83.53046581
Sydney - South West,2014/05/01,35-44 years,Females,57.56450439
Sydney - South West,2014/05/01,45-54 years,Males,77.32443271
Sydney - South West,2014/05/01,45-54 years,Females,55.46599211
Sydney - South West,2014/05/01,55-64 years,Males,58.61123767
Sydney - South West,2014/05/01,55-64 years,Females,38.0086785
Sydney - South West,2014/05/01,65 years and over,Males,13.48156395
Sydney - South West,2014/05/01,65 years and over,Females,5.682070891
Sydney - South West,2014/04/01,15-24 years,Males,42.34874329
Sydney - South West,2014/04/01,15-24 years,Females,41.93679135
Sydney - South West,2014/04/01,25-34 years,Males,79.18929811
Sydney - South West,2014/04/01,25-34 years,Females,58.0815259
Sydney - South West,2014/04/01,35-44 years,Males,83.99073496
Sydney - South West,2014/04/01,35-44 years,Females,57.98595669
Sydney - South West,2014/04/01,45-54 years,Males,77.82197681
Sydney - South West,2014/04/01,45-54 years,Females,55.99546644
Sydney - South West,2014/04/01,55-64 years,Males,59.22694787
Sydney - South West,2014/04/01,55-64 years,Females,38.34945612
Sydney - South West,2014/04/01,65 years and over,Males,13.8350311
Sydney - South West,2014/04/01,65 years and over,Females,5.805926436
Sydney - South West,2014/03/01,15-24 years,Males,42.76505523
Sydney - South West,2014/03/01,15-24 years,Females,41.9631617
Sydney - South West,2014/03/01,25-34 years,Males,79.20071378
Sydney - South West,2014/03/01,25-34 years,Females,58.20050716
Sydney - South West,2014/03/01,35-44 years,Males,84.07550057
Sydney - South West,2014/03/01,35-44 years,Females,57.80905331
Sydney - South West,2014/03/01,45-54 years,Males,77.77078322
Sydney - South West,2014/03/01,45-54 years,Females,56.09443678
Sydney - South West,2014/03/01,55-64 years,Males,58.98844579
Sydney - South West,2014/03/01,55-64 years,Females,38.2891447
Sydney - South West,2014/03/01,65 years and over,Males,13.87394016
Sydney - South West,2014/03/01,65 years and over,Females,5.802356317
Sydney - South West,2014/02/01,15-24 years,Males,42.71589074
Sydney - South West,2014/02/01,15-24 years,Females,42.21748305
Sydney - South West,2014/02/01,25-34 years,Males,79.31305624
Sydney - South West,2014/02/01,25-34 years,Females,57.61798953
Sydney - South West,2014/02/01,35-44 years,Males,83.55766357
Sydney - South West,2014/02/01,35-44 years,Females,56.96503386
Sydney - South West,2014/02/01,45-54 years,Males,77.38746149
Sydney - South West,2014/02/01,45-54 years,Females,54.94512517
Sydney - South West,2014/02/01,55-64 years,Males,57.86419346
Sydney - South West,2014/02/01,55-64 years,Females,37.7028584
Sydney - South West,2014/02/01,65 years and over,Males,13.63663278
Sydney - South West,2014/02/01,65 years and over,Females,5.699960735
Sydney - South West,2014/01/01,15-24 years,Males,43.3218771
Sydney - South West,2014/01/01,15-24 years,Females,43.14459663
Sydney - South West,2014/01/01,25-34 years,Males,78.74415104
Sydney - South West,2014/01/01,25-34 years,Females,56.75109161
Sydney - South West,2014/01/01,35-44 years,Males,82.4957506
Sydney - South West,2014/01/01,35-44 years,Females,55.9845981
Sydney - South West,2014/01/01,45-54 years,Males,76.11259281
Sydney - South West,2014/01/01,45-54 years,Females,53.63131502
Sydney - South West,2014/01/01,55-64 years,Males,57.03908723
Sydney - South West,2014/01/01,55-64 years,Females,37.04835108
Sydney - South West,2014/01/01,65 years and over,Males,13.37586359
Sydney - South West,2014/01/01,65 years and over,Females,5.602599879
Sydney - South West,2013/12/01,15-24 years,Males,44.40262425
Sydney - South West,2013/12/01,15-24 years,Females,44.20144655
Sydney - South West,2013/12/01,25-34 years,Males,80.10752655
Sydney - South West,2013/12/01,25-34 years,Females,57.57958175
Sydney - South West,2013/12/01,35-44 years,Males,82.63770343
Sydney - South West,2013/12/01,35-44 years,Females,57.35229872
Sydney - South West,2013/12/01,45-54 years,Males,76.68833557
Sydney - South West,2013/12/01,45-54 years,Females,54.49795322
Sydney - South West,2013/12/01,55-64 years,Males,57.97173802
Sydney - South West,2013/12/01,55-64 years,Females,37.86654819
Sydney - South West,2013/12/01,65 years and over,Males,13.66503372
Sydney - South West,2013/12/01,65 years and over,Females,5.723115008
Sydney - South West,2013/11/01,15-24 years,Males,41.96687403
Sydney - South West,2013/11/01,15-24 years,Females,42.30496357
Sydney - South West,2013/11/01,25-34 years,Males,79.62441401
Sydney - South West,2013/11/01,25-34 years,Females,57.67496461
Sydney - South West,2013/11/01,35-44 years,Males,81.94818579
Sydney - South West,2013/11/01,35-44 years,Females,57.45209581
Sydney - South West,2013/11/01,45-54 years,Males,76.41448238
Sydney - South West,2013/11/01,45-54 years,Females,54.49862694
Sydney - South West,2013/11/01,55-64 years,Males,58.15505769
Sydney - South West,2013/11/01,55-64 years,Females,38.17297668
Sydney - South West,2013/11/01,65 years and over,Males,13.75820342
Sydney - South West,2013/11/01,65 years and over,Females,5.719422519
Sydney - South West,2013/10/01,15-24 years,Males,42.59787056
Sydney - South West,2013/10/01,15-24 years,Females,43.08202562
Sydney - South West,2013/10/01,25-34 years,Males,80.02702435
Sydney - South West,2013/10/01,25-34 years,Females,58.06585562
Sydney - South West,2013/10/01,35-44 years,Males,81.80995873
Sydney - South West,2013/10/01,35-44 years,Females,57.29362154
Sydney - South West,2013/10/01,45-54 years,Males,76.55590721
Sydney - South West,2013/10/01,45-54 years,Females,55.07281241
Sydney - South West,2013/10/01,55-64 years,Males,58.47874603
Sydney - South West,2013/10/01,55-64 years,Females,38.30388456
Sydney - South West,2013/10/01,65 years and over,Males,13.72525023
Sydney - South West,2013/10/01,65 years and over,Females,5.65049348
Sydney - South West,2013/09/01,15-24 years,Males,43.02286654
Sydney - South West,2013/09/01,15-24 years,Females,44.23714472
Sydney - South West,2013/09/01,25-34 years,Males,80.98302984
Sydney - South West,2013/09/01,25-34 years,Females,58.48437237
Sydney - South West,2013/09/01,35-44 years,Males,81.84753609
Sydney - South West,2013/09/01,35-44 years,Females,57.54498043
Sydney - South West,2013/09/01,45-54 years,Males,77.09154091
Sydney - South West,2013/09/01,45-54 years,Females,55.80811472
Sydney - South West,2013/09/01,55-64 years,Males,59.22566082
Sydney - South West,2013/09/01,55-64 years,Females,38.73209844
Sydney - South West,2013/09/01,65 years and over,Males,13.86228403
Sydney - South West,2013/09/01,65 years and over,Females,5.623821581
Sydney - South West,2013/08/01,15-24 years,Males,42.77643806
Sydney - South West,2013/08/01,15-24 years,Females,42.97150957
Sydney - South West,2013/08/01,25-34 years,Males,80.46940424
Sydney - South West,2013/08/01,25-34 years,Females,57.57279625
Sydney - South West,2013/08/01,35-44 years,Males,81.24992188
Sydney - South West,2013/08/01,35-44 years,Females,56.92847853
Sydney - South West,2013/08/01,45-54 years,Males,76.67649137
Sydney - South West,2013/08/01,45-54 years,Females,55.11540957
Sydney - South West,2013/08/01,55-64 years,Males,59.13967758
Sydney - South West,2013/08/01,55-64 years,Females,38.65682372
Sydney - South West,2013/08/01,65 years and over,Males,13.84643817
Sydney - South West,2013/08/01,65 years and over,Females,5.468050082
Sydney - South West,2013/07/01,15-24 years,Males,45.61008628
Sydney - South West,2013/07/01,15-24 years,Females,45.0444685
Sydney - South West,2013/07/01,25-34 years,Males,81.60360003
Sydney - South West,2013/07/01,25-34 years,Females,57.38322203
Sydney - South West,2013/07/01,35-44 years,Males,81.51126164
Sydney - South West,2013/07/01,35-44 years,Females,57.37516282
Sydney - South West,2013/07/01,45-54 years,Males,76.81498992
Sydney - South West,2013/07/01,45-54 years,Females,54.46441865
Sydney - South West,2013/07/01,55-64 years,Males,59.58446979
Sydney - South West,2013/07/01,55-64 years,Females,39.04446633
Sydney - South West,2013/07/01,65 years and over,Males,14.1937564
Sydney - South West,2013/07/01,65 years and over,Females,5.396241772
Sydney - South West,2013/06/01,15-24 years,Males,45.72382761
Sydney - South West,2013/06/01,15-24 years,Females,44.75982301
Sydney - South West,2013/06/01,25-34 years,Males,81.44774691
Sydney - South West,2013/06/01,25-34 years,Females,56.11582618
Sydney - South West,2013/06/01,35-44 years,Males,81.17103156
Sydney - South West,2013/06/01,35-44 years,Females,57.51396864
Sydney - South West,2013/06/01,45-54 years,Males,76.37385547
Sydney - South West,2013/06/01,45-54 years,Females,52.98185239
Sydney - South West,2013/06/01,55-64 years,Males,59.93903191
Sydney - South West,2013/06/01,55-64 years,Females,39.06165429
Sydney - South West,2013/06/01,65 years and over,Males,14.28116584
Sydney - South West,2013/06/01,65 years and over,Females,5.203473627
Sydney - South West,2013/05/01,15-24 years,Males,46.50529181
Sydney - South West,2013/05/01,15-24 years,Females,45.40873403
Sydney - South West,2013/05/01,25-34 years,Males,81.09575773
Sydney - South West,2013/05/01,25-34 years,Females,55.53248603
Sydney - South West,2013/05/01,35-44 years,Males,81.06896597
Sydney - South West,2013/05/01,35-44 years,Females,57.87469197
Sydney - South West,2013/05/01,45-54 years,Males,76.42889282
Sydney - South West,2013/05/01,45-54 years,Females,52.05603632
Sydney - South West,2013/05/01,55-64 years,Males,60.69531902
Sydney - South West,2013/05/01,55-64 years,Females,39.60690731
Sydney - South West,2013/05/01,65 years and over,Males,14.65250903
Sydney - South West,2013/05/01,65 years and over,Females,5.180440517
Sydney - South West,2013/04/01,15-24 years,Males,47.59340406
Sydney - South West,2013/04/01,15-24 years,Females,46.69755122
Sydney - South West,2013/04/01,25-34 years,Males,82.26568713
Sydney - South West,2013/04/01,25-34 years,Females,55.42257066
Sydney - South West,2013/04/01,35-44 years,Males,81.64357425
Sydney - South West,2013/04/01,35-44 years,Females,58.76597469
Sydney - South West,2013/04/01,45-54 years,Males,76.6390607
Sydney - South West,2013/04/01,45-54 years,Females,51.81420144
Sydney - South West,2013/04/01,55-64 years,Males,61.58491082
Sydney - South West,2013/04/01,55-64 years,Females,40.2914892
Sydney - South West,2013/04/01,65 years and over,Males,14.8856128
Sydney - South West,2013/04/01,65 years and over,Females,5.167187171
Sydney - South West,2013/03/01,15-24 years,Males,47.65934778
Sydney - South West,2013/03/01,15-24 years,Females,45.8865079
Sydney - South West,2013/03/01,25-34 years,Males,81.98740809
Sydney - South West,2013/03/01,25-34 years,Females,54.94161387
Sydney - South West,2013/03/01,35-44 years,Males,81.32372748
Sydney - South West,2013/03/01,35-44 years,Females,58.78193497
Sydney - South West,2013/03/01,45-54 years,Males,76.4400681
Sydney - South West,2013/03/01,45-54 years,Females,51.23497682
Sydney - South West,2013/03/01,55-64 years,Males,61.30279615
Sydney - South West,2013/03/01,55-64 years,Females,40.31934035
Sydney - South West,2013/03/01,65 years and over,Males,14.97937026
Sydney - South West,2013/03/01,65 years and over,Females,5.167542079
Sydney - South West,2013/02/01,15-24 years,Males,48.93054147
Sydney - South West,2013/02/01,15-24 years,Females,46.13773985
Sydney - South West,2013/02/01,25-34 years,Males,82.62394288
Sydney - South West,2013/02/01,25-34 years,Females,54.48871943
Sydney - South West,2013/02/01,35-44 years,Males,81.91592244
Sydney - South West,2013/02/01,35-44 years,Females,58.46175015
Sydney - South West,2013/02/01,45-54 years,Males,76.93965767
Sydney - South West,2013/02/01,45-54 years,Females,50.96298703
Sydney - South West,2013/02/01,55-64 years,Males,60.65867755
Sydney - South West,2013/02/01,55-64 years,Females,39.64618269
Sydney - South West,2013/02/01,65 years and over,Males,14.66598524
Sydney - South West,2013/02/01,65 years and over,Females,4.96796855
Sydney - South West,2013/01/01,15-24 years,Males,48.76273591
Sydney - South West,2013/01/01,15-24 years,Females,47.80116065
Sydney - South West,2013/01/01,25-34 years,Males,81.46907189
Sydney - South West,2013/01/01,25-34 years,Females,53.57138002
Sydney - South West,2013/01/01,35-44 years,Males,81.31248564
Sydney - South West,2013/01/01,35-44 years,Females,56.59336777
Sydney - South West,2013/01/01,45-54 years,Males,76.2934132
Sydney - South West,2013/01/01,45-54 years,Females,50.0478287
Sydney - South West,2013/01/01,55-64 years,Males,59.52606537
Sydney - South West,2013/01/01,55-64 years,Females,38.90209279
Sydney - South West,2013/01/01,65 years and over,Males,14.30323062
Sydney - South West,2013/01/01,65 years and over,Females,4.80762575
Sydney - South West,2012/12/01,15-24 years,Males,50.45670205
Sydney - South West,2012/12/01,15-24 years,Females,49.20341223
Sydney - South West,2012/12/01,25-34 years,Males,81.80271183
Sydney - South West,2012/12/01,25-34 years,Females,54.87395214
Sydney - South West,2012/12/01,35-44 years,Males,82.18696717
Sydney - South West,2012/12/01,35-44 years,Females,57.29482988
Sydney - South West,2012/12/01,45-54 years,Males,77.22131378
Sydney - South West,2012/12/01,45-54 years,Females,51.62495245
Sydney - South West,2012/12/01,55-64 years,Males,60.2875806
Sydney - South West,2012/12/01,55-64 years,Females,39.50611574
Sydney - South West,2012/12/01,65 years and over,Males,14.48124064
Sydney - South West,2012/12/01,65 years and over,Females,4.878900089
Sydney - South West,2012/11/01,15-24 years,Males,47.31239885
Sydney - South West,2012/11/01,15-24 years,Females,45.69675006
Sydney - South West,2012/11/01,25-34 years,Males,80.67411461
Sydney - South West,2012/11/01,25-34 years,Females,54.92825906
Sydney - South West,2012/11/01,35-44 years,Males,82.46209214
Sydney - South West,2012/11/01,35-44 years,Females,56.91946223
Sydney - South West,2012/11/01,45-54 years,Males,76.87079077
Sydney - South West,2012/11/01,45-54 years,Females,51.89596172
Sydney - South West,2012/11/01,55-64 years,Males,60.02174998
Sydney - South West,2012/11/01,55-64 years,Females,39.0912705
Sydney - South West,2012/11/01,65 years and over,Males,14.0781256
Sydney - South West,2012/11/01,65 years and over,Females,4.783335788
Sydney - South West,2012/10/01,15-24 years,Males,47.67371094
Sydney - South West,2012/10/01,15-24 years,Females,45.5830157
Sydney - South West,2012/10/01,25-34 years,Males,80.45121083
Sydney - South West,2012/10/01,25-34 years,Females,55.84087064
Sydney - South West,2012/10/01,35-44 years,Males,83.16784085
Sydney - South West,2012/10/01,35-44 years,Females,57.26305944
Sydney - South West,2012/10/01,45-54 years,Males,76.69382598
Sydney - South West,2012/10/01,45-54 years,Females,52.98484486
Sydney - South West,2012/10/01,55-64 years,Males,60.37184571
Sydney - South West,2012/10/01,55-64 years,Females,39.53874176
Sydney - South West,2012/10/01,65 years and over,Males,14.03429101
Sydney - South West,2012/10/01,65 years and over,Females,4.814099365
Sydney - South West,2012/09/01,15-24 years,Males,48.18298214
Sydney - South West,2012/09/01,15-24 years,Females,45.90232534
Sydney - South West,2012/09/01,25-34 years,Males,79.84305843
Sydney - South West,2012/09/01,25-34 years,Females,56.69093553
Sydney - South West,2012/09/01,35-44 years,Males,83.6529193
Sydney - South West,2012/09/01,35-44 years,Females,57.72748957
Sydney - South West,2012/09/01,45-54 years,Males,76.36843281
Sydney - South West,2012/09/01,45-54 years,Females,54.28921961
Sydney - South West,2012/09/01,55-64 years,Males,60.8077207
Sydney - South West,2012/09/01,55-64 years,Females,40.2934503
Sydney - South West,2012/09/01,65 years and over,Males,14.03043267
Sydney - South West,2012/09/01,65 years and over,Females,4.901038395
Sydney - South West,2012/08/01,15-24 years,Males,46.13513606
Sydney - South West,2012/08/01,15-24 years,Females,43.485558
Sydney - South West,2012/08/01,25-34 years,Males,78.91944974
Sydney - South West,2012/08/01,25-34 years,Females,55.42894704
Sydney - South West,2012/08/01,35-44 years,Males,83.64154174
Sydney - South West,2012/08/01,35-44 years,Females,56.27809924
Sydney - South West,2012/08/01,45-54 years,Males,75.51832049
Sydney - South West,2012/08/01,45-54 years,Females,53.45028942
Sydney - South West,2012/08/01,55-64 years,Males,59.89090555
Sydney - South West,2012/08/01,55-64 years,Females,39.20019605
Sydney - South West,2012/08/01,65 years and over,Males,13.08143026
Sydney - South West,2012/08/01,65 years and over,Females,4.59503575
Sydney - South West,2012/07/01,15-24 years,Males,46.18332615
Sydney - South West,2012/07/01,15-24 years,Females,45.58505837
Sydney - South West,2012/07/01,25-34 years,Males,79.12941682
Sydney - South West,2012/07/01,25-34 years,Females,55.68920159
Sydney - South West,2012/07/01,35-44 years,Males,83.93365783
Sydney - South West,2012/07/01,35-44 years,Females,56.67662172
Sydney - South West,2012/07/01,45-54 years,Males,75.66031649
Sydney - South West,2012/07/01,45-54 years,Females,53.89787021
Sydney - South West,2012/07/01,55-64 years,Males,60.80707943
Sydney - South West,2012/07/01,55-64 years,Females,39.79979992
Sydney - South West,2012/07/01,65 years and over,Males,13.19298597
Sydney - South West,2012/07/01,65 years and over,Females,4.673565493
Sydney - South West,2012/06/01,15-24 years,Males,44.87447934
Sydney - South West,2012/06/01,15-24 years,Females,45.44573052
Sydney - South West,2012/06/01,25-34 years,Males,79.22245161
Sydney - South West,2012/06/01,25-34 years,Females,54.93674354
Sydney - South West,2012/06/01,35-44 years,Males,83.55249924
Sydney - South West,2012/06/01,35-44 years,Females,55.95737921
Sydney - South West,2012/06/01,45-54 years,Males,75.20401454
Sydney - South West,2012/06/01,45-54 years,Females,53.12008669
Sydney - South West,2012/06/01,55-64 years,Males,60.33449506
Sydney - South West,2012/06/01,55-64 years,Females,38.92109118
Sydney - South West,2012/06/01,65 years and over,Males,12.73828426
Sydney - South West,2012/06/01,65 years and over,Females,4.504521049
Sydney - South West,2012/05/01,15-24 years,Males,45.19109447
Sydney - South West,2012/05/01,15-24 years,Females,46.28034423
Sydney - South West,2012/05/01,25-34 years,Males,80.01505419
Sydney - South West,2012/05/01,25-34 years,Females,55.02970836
Sydney - South West,2012/05/01,35-44 years,Males,83.53070034
Sydney - South West,2012/05/01,35-44 years,Females,56.53031441
Sydney - South West,2012/05/01,45-54 years,Males,75.30140369
Sydney - South West,2012/05/01,45-54 years,Females,53.08762944
Sydney - South West,2012/05/01,55-64 years,Males,60.43724324
Sydney - South West,2012/05/01,55-64 years,Females,38.83611405
Sydney - South West,2012/05/01,65 years and over,Males,12.65387258
Sydney - South West,2012/05/01,65 years and over,Females,4.498481087
Sydney - South West,2012/04/01,15-24 years,Males,44.44063467
Sydney - South West,2012/04/01,15-24 years,Females,46.22416806
Sydney - South West,2012/04/01,25-34 years,Males,80.23975605
Sydney - South West,2012/04/01,25-34 years,Females,54.53191127
Sydney - South West,2012/04/01,35-44 years,Males,83.1707652
Sydney - South West,2012/04/01,35-44 years,Females,56.22215914
Sydney - South West,2012/04/01,45-54 years,Males,75.45598941
Sydney - South West,2012/04/01,45-54 years,Females,52.40448793
Sydney - South West,2012/04/01,55-64 years,Males,60.20522094
Sydney - South West,2012/04/01,55-64 years,Females,38.3615186
Sydney - South West,2012/04/01,65 years and over,Males,12.37529878
Sydney - South West,2012/04/01,65 years and over,Females,4.373505305
Sydney - South West,2012/03/01,15-24 years,Males,44.88268837
Sydney - South West,2012/03/01,15-24 years,Females,46.79602926
Sydney - South West,2012/03/01,25-34 years,Males,81.57406441
Sydney - South West,2012/03/01,25-34 years,Females,54.9425211
Sydney - South West,2012/03/01,35-44 years,Males,83.54386747
Sydney - South West,2012/03/01,35-44 years,Females,56.78458081
Sydney - South West,2012/03/01,45-54 years,Males,76.07569574
Sydney - South West,2012/03/01,45-54 years,Females,52.95820263
Sydney - South West,2012/03/01,55-64 years,Males,60.24631081
Sydney - South West,2012/03/01,55-64 years,Females,38.65774509
Sydney - South West,2012/03/01,65 years and over,Males,12.42650892
Sydney - South West,2012/03/01,65 years and over,Females,4.377280443
Sydney - South West,2012/02/01,15-24 years,Males,44.59236119
Sydney - South West,2012/02/01,15-24 years,Females,45.90341955
Sydney - South West,2012/02/01,25-34 years,Males,81.19254504
Sydney - South West,2012/02/01,25-34 years,Females,53.94999231
Sydney - South West,2012/02/01,35-44 years,Males,82.9660816
Sydney - South West,2012/02/01,35-44 years,Females,55.71934694
Sydney - South West,2012/02/01,45-54 years,Males,75.49284735
Sydney - South West,2012/02/01,45-54 years,Females,52.09192591
Sydney - South West,2012/02/01,55-64 years,Males,59.38884638
Sydney - South West,2012/02/01,55-64 years,Females,38.09287577
Sydney - South West,2012/02/01,65 years and over,Males,12.18645375
Sydney - South West,2012/02/01,65 years and over,Females,4.281384519
Sydney - South West,2012/01/01,15-24 years,Males,44.99294983
Sydney - South West,2012/01/01,15-24 years,Females,45.59661771
Sydney - South West,2012/01/01,25-34 years,Males,80.59766644
Sydney - South West,2012/01/01,25-34 years,Females,53.4528745
Sydney - South West,2012/01/01,35-44 years,Males,82.31954274
Sydney - South West,2012/01/01,35-44 years,Females,54.74786549
Sydney - South West,2012/01/01,45-54 years,Males,75.28377406
Sydney - South West,2012/01/01,45-54 years,Females,51.32252821
Sydney - South West,2012/01/01,55-64 years,Males,59.05535852
Sydney - South West,2012/01/01,55-64 years,Females,37.78883616
Sydney - South West,2012/01/01,65 years and over,Males,12.07721064
Sydney - South West,2012/01/01,65 years and over,Females,4.253725881
Sydney - Sutherland,2025/08/01,15-24 years,Males,64.8938496
Sydney - Sutherland,2025/08/01,15-24 years,Females,75.15210927
Sydney - Sutherland,2025/08/01,25-34 years,Males,93.08612385
Sydney - Sutherland,2025/08/01,25-34 years,Females,87.48889392
Sydney - Sutherland,2025/08/01,35-44 years,Males,93.77079851
Sydney - Sutherland,2025/08/01,35-44 years,Females,84.93720283
Sydney - Sutherland,2025/08/01,45-54 years,Males,92.38642775
Sydney - Sutherland,2025/08/01,45-54 years,Females,86.41061568
Sydney - Sutherland,2025/08/01,55-64 years,Males,80.24322213
Sydney - Sutherland,2025/08/01,55-64 years,Females,68.79247754
Sydney - Sutherland,2025/08/01,65 years and over,Males,22.09870613
Sydney - Sutherland,2025/08/01,65 years and over,Females,15.50176025
Sydney - Sutherland,2025/07/01,15-24 years,Males,67.05909004
Sydney - Sutherland,2025/07/01,15-24 years,Females,77.54353653
Sydney - Sutherland,2025/07/01,25-34 years,Males,93.585051
Sydney - Sutherland,2025/07/01,25-34 years,Females,88.21737833
Sydney - Sutherland,2025/07/01,35-44 years,Males,94.29794418
Sydney - Sutherland,2025/07/01,35-44 years,Females,85.71782699
Sydney - Sutherland,2025/07/01,45-54 years,Males,93.06501869
Sydney - Sutherland,2025/07/01,45-54 years,Females,86.99551898
Sydney - Sutherland,2025/07/01,55-64 years,Males,81.03174584
Sydney - Sutherland,2025/07/01,55-64 years,Females,69.53903702
Sydney - Sutherland,2025/07/01,65 years and over,Males,22.64242548
Sydney - Sutherland,2025/07/01,65 years and over,Females,15.93672799
Sydney - Sutherland,2025/06/01,15-24 years,Males,67.20086802
Sydney - Sutherland,2025/06/01,15-24 years,Females,76.43997873
Sydney - Sutherland,2025/06/01,25-34 years,Males,93.54233967
Sydney - Sutherland,2025/06/01,25-34 years,Females,87.88835353
Sydney - Sutherland,2025/06/01,35-44 years,Males,94.20143539
Sydney - Sutherland,2025/06/01,35-44 years,Females,85.55468257
Sydney - Sutherland,2025/06/01,45-54 years,Males,92.74842421
Sydney - Sutherland,2025/06/01,45-54 years,Females,86.6456115
Sydney - Sutherland,2025/06/01,55-64 years,Males,80.4949941
Sydney - Sutherland,2025/06/01,55-64 years,Females,68.96591044
Sydney - Sutherland,2025/06/01,65 years and over,Males,22.55500155
Sydney - Sutherland,2025/06/01,65 years and over,Females,15.80232979
Sydney - Sutherland,2025/05/01,15-24 years,Males,67.93213613
Sydney - Sutherland,2025/05/01,15-24 years,Females,77.01872207
Sydney - Sutherland,2025/05/01,25-34 years,Males,93.74439391
Sydney - Sutherland,2025/05/01,25-34 years,Females,87.99864113
Sydney - Sutherland,2025/05/01,35-44 years,Males,94.28316666
Sydney - Sutherland,2025/05/01,35-44 years,Females,85.78504928
Sydney - Sutherland,2025/05/01,45-54 years,Males,92.82062854
Sydney - Sutherland,2025/05/01,45-54 years,Females,86.72151709
Sydney - Sutherland,2025/05/01,55-64 years,Males,80.52240153
Sydney - Sutherland,2025/05/01,55-64 years,Females,69.08768442
Sydney - Sutherland,2025/05/01,65 years and over,Males,23.00897423
Sydney - Sutherland,2025/05/01,65 years and over,Females,16.11172636
Sydney - Sutherland,2025/04/01,15-24 years,Males,67.78407589
Sydney - Sutherland,2025/04/01,15-24 years,Females,77.50863216
Sydney - Sutherland,2025/04/01,25-34 years,Males,94.22607499
Sydney - Sutherland,2025/04/01,25-34 years,Females,88.20615075
Sydney - Sutherland,2025/04/01,35-44 years,Males,94.60568577
Sydney - Sutherland,2025/04/01,35-44 years,Females,85.79602036
Sydney - Sutherland,2025/04/01,45-54 years,Males,93.17174804
Sydney - Sutherland,2025/04/01,45-54 years,Females,86.95185767
Sydney - Sutherland,2025/04/01,55-64 years,Males,80.54436956
Sydney - Sutherland,2025/04/01,55-64 years,Females,68.8823931
Sydney - Sutherland,2025/04/01,65 years and over,Males,22.98237599
Sydney - Sutherland,2025/04/01,65 years and over,Females,15.95801538
Sydney - Sutherland,2025/03/01,15-24 years,Males,67.60594996
