Labour market region (SA4): ASGS (2011),Month,Age,Sex,Unemployment rate (%)
Richmond - Tweed,2013/01/01,35-44 years,Females,3.3
Richmond - Tweed,2013/01/01,45-54 years,Males,3.9
Richmond - Tweed,2013/01/01,45-54 years,Females,4.7
Richmond - Tweed,2013/01/01,55-64 years,Males,5.6
Richmond - Tweed,2013/01/01,55-64 years,Females,4.6
Richmond - Tweed,2013/01/01,65 years and over,Males,1.3
Richmond - Tweed,2013/01/01,65 years and over,Females,1.8
Richmond - Tweed,2012/12/01,15-24 years,Males,15.8
Richmond - Tweed,2012/12/01,15-24 years,Females,10
Richmond - Tweed,2012/12/01,25-34 years,Males,5.7
Richmond - Tweed,2012/12/01,25-34 years,Females,6.2
Richmond - Tweed,2012/12/01,35-44 years,Males,4.4
Richmond - Tweed,2012/12/01,35-44 years,Females,2.7
Richmond - Tweed,2012/12/01,45-54 years,Males,3.2
Richmond - Tweed,2012/12/01,45-54 years,Females,4.2
Richmond - Tweed,2012/12/01,55-64 years,Males,4.9
Richmond - Tweed,2012/12/01,55-64 years,Females,4
Richmond - Tweed,2012/12/01,65 years and over,Males,1.1
Richmond - Tweed,2012/12/01,65 years and over,Females,1.4
Richmond - Tweed,2012/11/01,15-24 years,Males,17.8
Richmond - Tweed,2012/11/01,15-24 years,Females,10.7
Richmond - Tweed,2012/11/01,25-34 years,Males,6.4
Richmond - Tweed,2012/11/01,25-34 years,Females,6.8
Richmond - Tweed,2012/11/01,35-44 years,Males,5
Richmond - Tweed,2012/11/01,35-44 years,Females,3
Richmond - Tweed,2012/11/01,45-54 years,Males,3.7
Richmond - Tweed,2012/11/01,45-54 years,Females,4.9
Richmond - Tweed,2012/11/01,55-64 years,Males,5.6
Richmond - Tweed,2012/11/01,55-64 years,Females,4.7
Richmond - Tweed,2012/11/01,65 years and over,Males,1.2
Richmond - Tweed,2012/11/01,65 years and over,Females,1.6
Richmond - Tweed,2012/10/01,15-24 years,Males,17.4
Richmond - Tweed,2012/10/01,15-24 years,Females,10.7
Richmond - Tweed,2012/10/01,25-34 years,Males,6.5
Richmond - Tweed,2012/10/01,25-34 years,Females,6.3
Richmond - Tweed,2012/10/01,35-44 years,Males,5.1
Richmond - Tweed,2012/10/01,35-44 years,Females,3.1
Richmond - Tweed,2012/10/01,45-54 years,Males,3.8
Richmond - Tweed,2012/10/01,45-54 years,Females,4.8
Richmond - Tweed,2012/10/01,55-64 years,Males,5.7
Richmond - Tweed,2012/10/01,55-64 years,Females,4.5
Richmond - Tweed,2012/10/01,65 years and over,Males,1.1
Richmond - Tweed,2012/10/01,65 years and over,Females,1.7
Richmond - Tweed,2012/09/01,15-24 years,Males,18.8
Richmond - Tweed,2012/09/01,15-24 years,Females,11.1
Richmond - Tweed,2012/09/01,25-34 years,Males,7.1
Richmond - Tweed,2012/09/01,25-34 years,Females,6.5
Richmond - Tweed,2012/09/01,35-44 years,Males,5.3
Richmond - Tweed,2012/09/01,35-44 years,Females,3.5
Richmond - Tweed,2012/09/01,45-54 years,Males,4.1
Richmond - Tweed,2012/09/01,45-54 years,Females,5.1
Richmond - Tweed,2012/09/01,55-64 years,Males,6.2
Richmond - Tweed,2012/09/01,55-64 years,Females,4.8
Richmond - Tweed,2012/09/01,65 years and over,Males,1.1
Richmond - Tweed,2012/09/01,65 years and over,Females,2.1
Richmond - Tweed,2012/08/01,15-24 years,Males,15
Richmond - Tweed,2012/08/01,15-24 years,Females,8.5
Richmond - Tweed,2012/08/01,25-34 years,Males,5.6
Richmond - Tweed,2012/08/01,25-34 years,Females,4.7
Richmond - Tweed,2012/08/01,35-44 years,Males,4
Richmond - Tweed,2012/08/01,35-44 years,Females,2.9
Richmond - Tweed,2012/08/01,45-54 years,Males,3.2
Richmond - Tweed,2012/08/01,45-54 years,Females,4
Richmond - Tweed,2012/08/01,55-64 years,Males,4.9
Richmond - Tweed,2012/08/01,55-64 years,Females,3.3
Richmond - Tweed,2012/08/01,65 years and over,Males,0.9
Richmond - Tweed,2012/08/01,65 years and over,Females,1.7
Richmond - Tweed,2012/07/01,15-24 years,Males,16.1
Richmond - Tweed,2012/07/01,15-24 years,Females,9.5
Richmond - Tweed,2012/07/01,25-34 years,Males,6.2
Richmond - Tweed,2012/07/01,25-34 years,Females,5.6
Richmond - Tweed,2012/07/01,35-44 years,Males,4.3
Richmond - Tweed,2012/07/01,35-44 years,Females,3.2
Richmond - Tweed,2012/07/01,45-54 years,Males,3.6
Richmond - Tweed,2012/07/01,45-54 years,Females,4.4
Richmond - Tweed,2012/07/01,55-64 years,Males,5.6
Richmond - Tweed,2012/07/01,55-64 years,Females,3.3
Richmond - Tweed,2012/07/01,65 years and over,Males,0.9
Richmond - Tweed,2012/07/01,65 years and over,Females,1.5
Richmond - Tweed,2012/06/01,15-24 years,Males,17.8
Richmond - Tweed,2012/06/01,15-24 years,Females,10.9
Richmond - Tweed,2012/06/01,25-34 years,Males,6.8
Richmond - Tweed,2012/06/01,25-34 years,Females,6.7
Richmond - Tweed,2012/06/01,35-44 years,Males,4.8
Richmond - Tweed,2012/06/01,35-44 years,Females,3.8
Richmond - Tweed,2012/06/01,45-54 years,Males,4.2
Richmond - Tweed,2012/06/01,45-54 years,Females,4.9
Richmond - Tweed,2012/06/01,55-64 years,Males,6.4
Richmond - Tweed,2012/06/01,55-64 years,Females,3.5
Richmond - Tweed,2012/06/01,65 years and over,Males,1
Richmond - Tweed,2012/06/01,65 years and over,Females,1.5
Richmond - Tweed,2012/05/01,15-24 years,Males,15.6
Richmond - Tweed,2012/05/01,15-24 years,Females,9.7
Richmond - Tweed,2012/05/01,25-34 years,Males,5.6
Richmond - Tweed,2012/05/01,25-34 years,Females,6.1
Richmond - Tweed,2012/05/01,35-44 years,Males,4.3
Richmond - Tweed,2012/05/01,35-44 years,Females,3.4
Richmond - Tweed,2012/05/01,45-54 years,Males,3.7
Richmond - Tweed,2012/05/01,45-54 years,Females,4.1
Richmond - Tweed,2012/05/01,55-64 years,Males,5.6
Richmond - Tweed,2012/05/01,55-64 years,Females,3.2
Richmond - Tweed,2012/05/01,65 years and over,Males,0.9
Richmond - Tweed,2012/05/01,65 years and over,Females,1.2
Richmond - Tweed,2012/04/01,15-24 years,Males,15.5
Richmond - Tweed,2012/04/01,15-24 years,Females,9.6
Richmond - Tweed,2012/04/01,25-34 years,Males,5.6
Richmond - Tweed,2012/04/01,25-34 years,Females,6
Richmond - Tweed,2012/04/01,35-44 years,Males,4.6
Richmond - Tweed,2012/04/01,35-44 years,Females,3.6
Richmond - Tweed,2012/04/01,45-54 years,Males,3.7
Richmond - Tweed,2012/04/01,45-54 years,Females,4.1
Richmond - Tweed,2012/04/01,55-64 years,Males,5.8
Richmond - Tweed,2012/04/01,55-64 years,Females,3.5
Richmond - Tweed,2012/04/01,65 years and over,Males,0.9
Richmond - Tweed,2012/04/01,65 years and over,Females,1.2
Richmond - Tweed,2012/03/01,15-24 years,Males,14.1
Richmond - Tweed,2012/03/01,15-24 years,Females,9.1
Richmond - Tweed,2012/03/01,25-34 years,Males,5
Richmond - Tweed,2012/03/01,25-34 years,Females,5.4
Richmond - Tweed,2012/03/01,35-44 years,Males,4.2
Richmond - Tweed,2012/03/01,35-44 years,Females,3.5
Richmond - Tweed,2012/03/01,45-54 years,Males,3.5
Richmond - Tweed,2012/03/01,45-54 years,Females,3.5
Richmond - Tweed,2012/03/01,55-64 years,Males,5.3
Richmond - Tweed,2012/03/01,55-64 years,Females,3.4
Richmond - Tweed,2012/03/01,65 years and over,Males,0.8
Richmond - Tweed,2012/03/01,65 years and over,Females,1.1
Richmond - Tweed,2012/02/01,15-24 years,Males,18
Richmond - Tweed,2012/02/01,15-24 years,Females,12.2
Richmond - Tweed,2012/02/01,25-34 years,Males,6.5
Richmond - Tweed,2012/02/01,25-34 years,Females,6.8
Richmond - Tweed,2012/02/01,35-44 years,Males,5.7
Richmond - Tweed,2012/02/01,35-44 years,Females,5
Richmond - Tweed,2012/02/01,45-54 years,Males,4.7
Richmond - Tweed,2012/02/01,45-54 years,Females,4.7
Richmond - Tweed,2012/02/01,55-64 years,Males,7.1
Richmond - Tweed,2012/02/01,55-64 years,Females,4.6
Richmond - Tweed,2012/02/01,65 years and over,Males,1.1
Richmond - Tweed,2012/02/01,65 years and over,Females,1.6
Richmond - Tweed,2012/01/01,15-24 years,Males,15.5
Richmond - Tweed,2012/01/01,15-24 years,Females,10.9
Richmond - Tweed,2012/01/01,25-34 years,Males,5.7
Richmond - Tweed,2012/01/01,25-34 years,Females,5.7
Richmond - Tweed,2012/01/01,35-44 years,Males,5.1
Richmond - Tweed,2012/01/01,35-44 years,Females,4.4
Richmond - Tweed,2012/01/01,45-54 years,Males,4.4
Richmond - Tweed,2012/01/01,45-54 years,Females,4
Richmond - Tweed,2012/01/01,55-64 years,Males,6.2
Richmond - Tweed,2012/01/01,55-64 years,Females,3.9
Richmond - Tweed,2012/01/01,65 years and over,Males,1
Richmond - Tweed,2012/01/01,65 years and over,Females,1.4
Riverina,2025/08/01,15-24 years,Males,10.1
Riverina,2025/08/01,15-24 years,Females,7.8
Riverina,2025/08/01,25-34 years,Males,3.7
Riverina,2025/08/01,25-34 years,Females,2.6
Riverina,2025/08/01,35-44 years,Males,3
Riverina,2025/08/01,35-44 years,Females,3.7
Riverina,2025/08/01,45-54 years,Males,2.7
Riverina,2025/08/01,45-54 years,Females,2.2
Riverina,2025/08/01,55-64 years,Males,3.1
Riverina,2025/08/01,55-64 years,Females,2.3
Riverina,2025/08/01,65 years and over,Males,1.2
Riverina,2025/08/01,65 years and over,Females,0.8
Riverina,2025/07/01,15-24 years,Males,9.1
Riverina,2025/07/01,15-24 years,Females,6.9
Riverina,2025/07/01,25-34 years,Males,3.1
Riverina,2025/07/01,25-34 years,Females,2.2
Riverina,2025/07/01,35-44 years,Males,2.6
Riverina,2025/07/01,35-44 years,Females,3.2
Riverina,2025/07/01,45-54 years,Males,2.4
Riverina,2025/07/01,45-54 years,Females,1.9
Riverina,2025/07/01,55-64 years,Males,2.7
Riverina,2025/07/01,55-64 years,Females,2
Riverina,2025/07/01,65 years and over,Males,1
Riverina,2025/07/01,65 years and over,Females,0.6
Riverina,2025/06/01,15-24 years,Males,10.9
Riverina,2025/06/01,15-24 years,Females,8.3
Riverina,2025/06/01,25-34 years,Males,3.7
Riverina,2025/06/01,25-34 years,Females,2.6
Riverina,2025/06/01,35-44 years,Males,3.1
Riverina,2025/06/01,35-44 years,Females,3.7
Riverina,2025/06/01,45-54 years,Males,2.7
Riverina,2025/06/01,45-54 years,Females,2.1
Riverina,2025/06/01,55-64 years,Males,3.2
Riverina,2025/06/01,55-64 years,Females,2.2
Riverina,2025/06/01,65 years and over,Males,1.1
Riverina,2025/06/01,65 years and over,Females,0.8
Riverina,2025/05/01,15-24 years,Males,10
Riverina,2025/05/01,15-24 years,Females,7.3
Riverina,2025/05/01,25-34 years,Males,3.3
Riverina,2025/05/01,25-34 years,Females,2.6
Riverina,2025/05/01,35-44 years,Males,2.7
Riverina,2025/05/01,35-44 years,Females,3.5
Riverina,2025/05/01,45-54 years,Males,2.4
Riverina,2025/05/01,45-54 years,Females,1.9
Riverina,2025/05/01,55-64 years,Males,2.9
Riverina,2025/05/01,55-64 years,Females,1.8
Riverina,2025/05/01,65 years and over,Males,0.9
Riverina,2025/05/01,65 years and over,Females,0.9
Riverina,2025/04/01,15-24 years,Males,10
Riverina,2025/04/01,15-24 years,Females,7
Riverina,2025/04/01,25-34 years,Males,3.1
Riverina,2025/04/01,25-34 years,Females,2.8
Riverina,2025/04/01,35-44 years,Males,2.7
Riverina,2025/04/01,35-44 years,Females,4
Riverina,2025/04/01,45-54 years,Males,2.5
Riverina,2025/04/01,45-54 years,Females,1.9
Riverina,2025/04/01,55-64 years,Males,3
Riverina,2025/04/01,55-64 years,Females,1.8
Riverina,2025/04/01,65 years and over,Males,0.9
Riverina,2025/04/01,65 years and over,Females,1
Riverina,2025/03/01,15-24 years,Males,11.1
Riverina,2025/03/01,15-24 years,Females,7.4
Riverina,2025/03/01,25-34 years,Males,3.3
Riverina,2025/03/01,25-34 years,Females,3.3
Riverina,2025/03/01,35-44 years,Males,3
Riverina,2025/03/01,35-44 years,Females,4.5
Riverina,2025/03/01,45-54 years,Males,2.8
Riverina,2025/03/01,45-54 years,Females,2.1
Riverina,2025/03/01,55-64 years,Males,3.2
Riverina,2025/03/01,55-64 years,Females,1.9
Riverina,2025/03/01,65 years and over,Males,1
Riverina,2025/03/01,65 years and over,Females,1.2
Riverina,2025/02/01,15-24 years,Males,10.4
Riverina,2025/02/01,15-24 years,Females,7.1
Riverina,2025/02/01,25-34 years,Males,3.1
Riverina,2025/02/01,25-34 years,Females,3.5
Riverina,2025/02/01,35-44 years,Males,2.9
Riverina,2025/02/01,35-44 years,Females,4
Riverina,2025/02/01,45-54 years,Males,2.7
Riverina,2025/02/01,45-54 years,Females,1.9
Riverina,2025/02/01,55-64 years,Males,3
Riverina,2025/02/01,55-64 years,Females,1.8
Riverina,2025/02/01,65 years and over,Males,0.9
Riverina,2025/02/01,65 years and over,Females,1.2
Riverina,2025/01/01,15-24 years,Males,10.8
Riverina,2025/01/01,15-24 years,Females,7.5
Riverina,2025/01/01,25-34 years,Males,3.3
Riverina,2025/01/01,25-34 years,Females,4
Riverina,2025/01/01,35-44 years,Males,3
Riverina,2025/01/01,35-44 years,Females,4.2
Riverina,2025/01/01,45-54 years,Males,2.8
Riverina,2025/01/01,45-54 years,Females,2
Riverina,2025/01/01,55-64 years,Males,3.1
Riverina,2025/01/01,55-64 years,Females,1.9
Riverina,2025/01/01,65 years and over,Males,0.9
Riverina,2025/01/01,65 years and over,Females,1.4
Riverina,2024/12/01,15-24 years,Males,9.3
Riverina,2024/12/01,15-24 years,Females,6.1
Riverina,2024/12/01,25-34 years,Males,2.7
Riverina,2024/12/01,25-34 years,Females,3.2
Riverina,2024/12/01,35-44 years,Males,2.4
Riverina,2024/12/01,35-44 years,Females,3.4
Riverina,2024/12/01,45-54 years,Males,2.3
Riverina,2024/12/01,45-54 years,Females,1.6
Riverina,2024/12/01,55-64 years,Males,2.6
Riverina,2024/12/01,55-64 years,Females,1.8
Riverina,2024/12/01,65 years and over,Males,0.7
Riverina,2024/12/01,65 years and over,Females,1.2
Riverina,2024/11/01,15-24 years,Males,9.6
Riverina,2024/11/01,15-24 years,Females,6.3
Riverina,2024/11/01,25-34 years,Males,3
Riverina,2024/11/01,25-34 years,Females,3.4
Riverina,2024/11/01,35-44 years,Males,2.5
Riverina,2024/11/01,35-44 years,Females,3.6
Riverina,2024/11/01,45-54 years,Males,2.4
Riverina,2024/11/01,45-54 years,Females,1.7
Riverina,2024/11/01,55-64 years,Males,2.7
Riverina,2024/11/01,55-64 years,Females,2.3
Riverina,2024/11/01,65 years and over,Males,0.7
Riverina,2024/11/01,65 years and over,Females,1.4
Riverina,2024/10/01,15-24 years,Males,9.9
Riverina,2024/10/01,15-24 years,Females,6.7
Riverina,2024/10/01,25-34 years,Males,3.2
Riverina,2024/10/01,25-34 years,Females,3.5
Riverina,2024/10/01,35-44 years,Males,2.6
Riverina,2024/10/01,35-44 years,Females,3.6
Riverina,2024/10/01,45-54 years,Males,2.6
Riverina,2024/10/01,45-54 years,Females,1.8
Riverina,2024/10/01,55-64 years,Males,2.8
Riverina,2024/10/01,55-64 years,Females,2.9
Riverina,2024/10/01,65 years and over,Males,0.7
Riverina,2024/10/01,65 years and over,Females,1.3
Riverina,2024/09/01,15-24 years,Males,9.3
Riverina,2024/09/01,15-24 years,Females,6.4
Riverina,2024/09/01,25-34 years,Males,3.1
Riverina,2024/09/01,25-34 years,Females,3.3
Riverina,2024/09/01,35-44 years,Males,2.3
Riverina,2024/09/01,35-44 years,Females,3.5
Riverina,2024/09/01,45-54 years,Males,2.5
Riverina,2024/09/01,45-54 years,Females,1.7
Riverina,2024/09/01,55-64 years,Males,2.6
Riverina,2024/09/01,55-64 years,Females,2.8
Riverina,2024/09/01,65 years and over,Males,0.7
Riverina,2024/09/01,65 years and over,Females,1.4
Riverina,2024/08/01,15-24 years,Males,9.8
Riverina,2024/08/01,15-24 years,Females,6.7
Riverina,2024/08/01,25-34 years,Males,3.3
Riverina,2024/08/01,25-34 years,Females,3.2
Riverina,2024/08/01,35-44 years,Males,2.4
Riverina,2024/08/01,35-44 years,Females,3.6
Riverina,2024/08/01,45-54 years,Males,2.7
Riverina,2024/08/01,45-54 years,Females,1.8
Riverina,2024/08/01,55-64 years,Males,2.5
Riverina,2024/08/01,55-64 years,Females,2.8
Riverina,2024/08/01,65 years and over,Males,0.7
Riverina,2024/08/01,65 years and over,Females,1.4
Riverina,2024/07/01,15-24 years,Males,9.8
Riverina,2024/07/01,15-24 years,Females,6.8
Riverina,2024/07/01,25-34 years,Males,3.5
Riverina,2024/07/01,25-34 years,Females,3.2
Riverina,2024/07/01,35-44 years,Males,2.4
Riverina,2024/07/01,35-44 years,Females,3.7
Riverina,2024/07/01,45-54 years,Males,2.9
Riverina,2024/07/01,45-54 years,Females,1.9
Riverina,2024/07/01,55-64 years,Males,2.5
Riverina,2024/07/01,55-64 years,Females,2.6
Riverina,2024/07/01,65 years and over,Males,0.7
Riverina,2024/07/01,65 years and over,Females,1
Riverina,2024/06/01,15-24 years,Males,9.4
Riverina,2024/06/01,15-24 years,Females,7
Riverina,2024/06/01,25-34 years,Males,3.5
Riverina,2024/06/01,25-34 years,Females,3.1
Riverina,2024/06/01,35-44 years,Males,2.3
Riverina,2024/06/01,35-44 years,Females,3.8
Riverina,2024/06/01,45-54 years,Males,2.9
Riverina,2024/06/01,45-54 years,Females,1.9
Riverina,2024/06/01,55-64 years,Males,2.4
Riverina,2024/06/01,55-64 years,Females,2.4
Riverina,2024/06/01,65 years and over,Males,0.7
Riverina,2024/06/01,65 years and over,Females,0.9
Riverina,2024/05/01,15-24 years,Males,8.8
Riverina,2024/05/01,15-24 years,Females,6.8
Riverina,2024/05/01,25-34 years,Males,3.4
Riverina,2024/05/01,25-34 years,Females,2.8
Riverina,2024/05/01,35-44 years,Males,2
Riverina,2024/05/01,35-44 years,Females,3.4
Riverina,2024/05/01,45-54 years,Males,2.7
Riverina,2024/05/01,45-54 years,Females,1.8
Riverina,2024/05/01,55-64 years,Males,2.2
Riverina,2024/05/01,55-64 years,Females,2.4
Riverina,2024/05/01,65 years and over,Males,0.7
Riverina,2024/05/01,65 years and over,Females,0.9
Riverina,2024/04/01,15-24 years,Males,9.1
Riverina,2024/04/01,15-24 years,Females,7.4
Riverina,2024/04/01,25-34 years,Males,3.7
Riverina,2024/04/01,25-34 years,Females,2.7
Riverina,2024/04/01,35-44 years,Males,2.1
Riverina,2024/04/01,35-44 years,Females,3.4
Riverina,2024/04/01,45-54 years,Males,2.8
Riverina,2024/04/01,45-54 years,Females,1.9
Riverina,2024/04/01,55-64 years,Males,2.2
Riverina,2024/04/01,55-64 years,Females,2.7
Riverina,2024/04/01,65 years and over,Males,0.7
Riverina,2024/04/01,65 years and over,Females,1.3
Riverina,2024/03/01,15-24 years,Males,8.3
Riverina,2024/03/01,15-24 years,Females,7
Riverina,2024/03/01,25-34 years,Males,3.5
Riverina,2024/03/01,25-34 years,Females,2.2
Riverina,2024/03/01,35-44 years,Males,1.8
Riverina,2024/03/01,35-44 years,Females,3.1
Riverina,2024/03/01,45-54 years,Males,2.6
Riverina,2024/03/01,45-54 years,Females,1.7
Riverina,2024/03/01,55-64 years,Males,1.9
Riverina,2024/03/01,55-64 years,Females,2.7
Riverina,2024/03/01,65 years and over,Males,0.7
Riverina,2024/03/01,65 years and over,Females,2.2
Riverina,2024/02/01,15-24 years,Males,7.9
Riverina,2024/02/01,15-24 years,Females,6.7
Riverina,2024/02/01,25-34 years,Males,3.4
Riverina,2024/02/01,25-34 years,Females,2
Riverina,2024/02/01,35-44 years,Males,1.7
Riverina,2024/02/01,35-44 years,Females,2.8
Riverina,2024/02/01,45-54 years,Males,2.6
Riverina,2024/02/01,45-54 years,Females,1.6
Riverina,2024/02/01,55-64 years,Males,1.8
Riverina,2024/02/01,55-64 years,Females,2.6
Riverina,2024/02/01,65 years and over,Males,0.7
Riverina,2024/02/01,65 years and over,Females,2.9
Riverina,2024/01/01,15-24 years,Males,8.9
Riverina,2024/01/01,15-24 years,Females,7.5
Riverina,2024/01/01,25-34 years,Males,4.1
Riverina,2024/01/01,25-34 years,Females,2.2
Riverina,2024/01/01,35-44 years,Males,2.1
Riverina,2024/01/01,35-44 years,Females,2.9
Riverina,2024/01/01,45-54 years,Males,3.1
Riverina,2024/01/01,45-54 years,Females,1.9
Riverina,2024/01/01,55-64 years,Males,2
Riverina,2024/01/01,55-64 years,Females,3
Riverina,2024/01/01,65 years and over,Males,0.8
Riverina,2024/01/01,65 years and over,Females,3.5
Riverina,2023/12/01,15-24 years,Males,7.6
Riverina,2023/12/01,15-24 years,Females,6.4
Riverina,2023/12/01,25-34 years,Males,3.5
Riverina,2023/12/01,25-34 years,Females,1.9
Riverina,2023/12/01,35-44 years,Males,1.8
Riverina,2023/12/01,35-44 years,Females,2.3
Riverina,2023/12/01,45-54 years,Males,2.7
Riverina,2023/12/01,45-54 years,Females,1.7
Riverina,2023/12/01,55-64 years,Males,1.7
Riverina,2023/12/01,55-64 years,Females,2.3
Riverina,2023/12/01,65 years and over,Males,0.7
Riverina,2023/12/01,65 years and over,Females,3.6
Riverina,2023/11/01,15-24 years,Males,7.1
Riverina,2023/11/01,15-24 years,Females,5.9
Riverina,2023/11/01,25-34 years,Males,3.3
Riverina,2023/11/01,25-34 years,Females,1.8
Riverina,2023/11/01,35-44 years,Males,1.7
Riverina,2023/11/01,35-44 years,Females,2.1
Riverina,2023/11/01,45-54 years,Males,2.4
Riverina,2023/11/01,45-54 years,Females,1.6
Riverina,2023/11/01,55-64 years,Males,1.7
Riverina,2023/11/01,55-64 years,Females,2.1
Riverina,2023/11/01,65 years and over,Males,0.7
Riverina,2023/11/01,65 years and over,Females,2.6
Riverina,2023/10/01,15-24 years,Males,7.1
Riverina,2023/10/01,15-24 years,Females,5.9
Riverina,2023/10/01,25-34 years,Males,3.4
Riverina,2023/10/01,25-34 years,Females,1.9
Riverina,2023/10/01,35-44 years,Males,1.8
Riverina,2023/10/01,35-44 years,Females,2.1
Riverina,2023/10/01,45-54 years,Males,2.5
Riverina,2023/10/01,45-54 years,Females,1.7
Riverina,2023/10/01,55-64 years,Males,1.7
Riverina,2023/10/01,55-64 years,Females,2.3
Riverina,2023/10/01,65 years and over,Males,0.7
Riverina,2023/10/01,65 years and over,Females,1.9
Riverina,2023/09/01,15-24 years,Males,7.3
Riverina,2023/09/01,15-24 years,Females,6.2
Riverina,2023/09/01,25-34 years,Males,3.6
Riverina,2023/09/01,25-34 years,Females,2
Riverina,2023/09/01,35-44 years,Males,2
Riverina,2023/09/01,35-44 years,Females,2.4
Riverina,2023/09/01,45-54 years,Males,2.7
Riverina,2023/09/01,45-54 years,Females,1.9
Riverina,2023/09/01,55-64 years,Males,1.9
Riverina,2023/09/01,55-64 years,Females,2.6
Riverina,2023/09/01,65 years and over,Males,0.7
Riverina,2023/09/01,65 years and over,Females,1.5
Riverina,2023/08/01,15-24 years,Males,7.7
Riverina,2023/08/01,15-24 years,Females,6.7
Riverina,2023/08/01,25-34 years,Males,3.9
Riverina,2023/08/01,25-34 years,Females,2.2
Riverina,2023/08/01,35-44 years,Males,2.3
Riverina,2023/08/01,35-44 years,Females,2.6
Riverina,2023/08/01,45-54 years,Males,2.9
Riverina,2023/08/01,45-54 years,Females,2
Riverina,2023/08/01,55-64 years,Males,2.1
Riverina,2023/08/01,55-64 years,Females,2.7
Riverina,2023/08/01,65 years and over,Males,0.8
Riverina,2023/08/01,65 years and over,Females,1.2
Riverina,2023/07/01,15-24 years,Males,6.8
Riverina,2023/07/01,15-24 years,Females,6
Riverina,2023/07/01,25-34 years,Males,3.4
Riverina,2023/07/01,25-34 years,Females,2.1
Riverina,2023/07/01,35-44 years,Males,2
Riverina,2023/07/01,35-44 years,Females,2.2
Riverina,2023/07/01,45-54 years,Males,2.5
Riverina,2023/07/01,45-54 years,Females,1.8
Riverina,2023/07/01,55-64 years,Males,1.9
Riverina,2023/07/01,55-64 years,Females,2.3
Riverina,2023/07/01,65 years and over,Males,0.7
Riverina,2023/07/01,65 years and over,Females,0.8
Riverina,2023/06/01,15-24 years,Males,6.3
Riverina,2023/06/01,15-24 years,Females,5.6
Riverina,2023/06/01,25-34 years,Males,3.2
Riverina,2023/06/01,25-34 years,Females,2.1
Riverina,2023/06/01,35-44 years,Males,1.9
Riverina,2023/06/01,35-44 years,Females,2.1
Riverina,2023/06/01,45-54 years,Males,2.4
Riverina,2023/06/01,45-54 years,Females,1.7
Riverina,2023/06/01,55-64 years,Males,1.9
Riverina,2023/06/01,55-64 years,Females,2.1
Riverina,2023/06/01,65 years and over,Males,0.7
Riverina,2023/06/01,65 years and over,Females,0.6
Riverina,2023/05/01,15-24 years,Males,5.8
Riverina,2023/05/01,15-24 years,Females,5.2
Riverina,2023/05/01,25-34 years,Males,2.9
Riverina,2023/05/01,25-34 years,Females,1.9
Riverina,2023/05/01,35-44 years,Males,1.8
Riverina,2023/05/01,35-44 years,Females,1.9
Riverina,2023/05/01,45-54 years,Males,2.3
Riverina,2023/05/01,45-54 years,Females,1.6
Riverina,2023/05/01,55-64 years,Males,1.9
Riverina,2023/05/01,55-64 years,Females,1.7
Riverina,2023/05/01,65 years and over,Males,0.7
Riverina,2023/05/01,65 years and over,Females,0.5
Riverina,2023/04/01,15-24 years,Males,6.7
Riverina,2023/04/01,15-24 years,Females,6.2
Riverina,2023/04/01,25-34 years,Males,3.3
Riverina,2023/04/01,25-34 years,Females,2.2
Riverina,2023/04/01,35-44 years,Males,2.2
Riverina,2023/04/01,35-44 years,Females,2.2
Riverina,2023/04/01,45-54 years,Males,2.7
Riverina,2023/04/01,45-54 years,Females,1.8
Riverina,2023/04/01,55-64 years,Males,2.2
Riverina,2023/04/01,55-64 years,Females,1.9
Riverina,2023/04/01,65 years and over,Males,0.8
Riverina,2023/04/01,65 years and over,Females,0.6
Riverina,2023/03/01,15-24 years,Males,6.2
Riverina,2023/03/01,15-24 years,Females,6
Riverina,2023/03/01,25-34 years,Males,3.2
Riverina,2023/03/01,25-34 years,Females,2.1
Riverina,2023/03/01,35-44 years,Males,2.1
Riverina,2023/03/01,35-44 years,Females,2.2
Riverina,2023/03/01,45-54 years,Males,2.7
Riverina,2023/03/01,45-54 years,Females,1.8
Riverina,2023/03/01,55-64 years,Males,2.2
Riverina,2023/03/01,55-64 years,Females,1.6
Riverina,2023/03/01,65 years and over,Males,0.7
Riverina,2023/03/01,65 years and over,Females,0.5
Riverina,2023/02/01,15-24 years,Males,6.4
Riverina,2023/02/01,15-24 years,Females,6.4
Riverina,2023/02/01,25-34 years,Males,3.4
Riverina,2023/02/01,25-34 years,Females,2.3
Riverina,2023/02/01,35-44 years,Males,2.2
Riverina,2023/02/01,35-44 years,Females,2.1
Riverina,2023/02/01,45-54 years,Males,2.8
Riverina,2023/02/01,45-54 years,Females,1.9
Riverina,2023/02/01,55-64 years,Males,2.3
Riverina,2023/02/01,55-64 years,Females,1.7
Riverina,2023/02/01,65 years and over,Males,0.8
Riverina,2023/02/01,65 years and over,Females,0.6
Riverina,2023/01/01,15-24 years,Males,6.3
Riverina,2023/01/01,15-24 years,Females,6.4
Riverina,2023/01/01,25-34 years,Males,3.4
Riverina,2023/01/01,25-34 years,Females,2.5
Riverina,2023/01/01,35-44 years,Males,2.3
Riverina,2023/01/01,35-44 years,Females,2
Riverina,2023/01/01,45-54 years,Males,2.6
Riverina,2023/01/01,45-54 years,Females,1.9
