Date,Attribute,Value
2010/03/03,Cash_Rate_Target,4
2010/03/03,Exchange_Settlement_Rate,3.75
2010/03/03,Overnight_Repo_Rate,4.25
2010/04/07,Cash_Rate_Target,4.25
2010/04/07,Exchange_Settlement_Rate,4
2010/04/07,Overnight_Repo_Rate,4.5
2010/05/05,Cash_Rate_Target,4.5
2010/05/05,Exchange_Settlement_Rate,4.25
2010/05/05,Overnight_Repo_Rate,4.75
2010/11/03,Cash_Rate_Target,4.75
2010/11/03,Exchange_Settlement_Rate,4.5
2010/11/03,Overnight_Repo_Rate,5
2011/11/02,Cash_Rate_Target,4.5
2011/11/02,Exchange_Settlement_Rate,4.25
2011/11/02,Overnight_Repo_Rate,4.75
2011/12/07,Cash_Rate_Target,4.25
2011/12/07,Exchange_Settlement_Rate,4
2011/12/07,Overnight_Repo_Rate,4.5
2012/05/02,Cash_Rate_Target,3.75
2012/05/02,Exchange_Settlement_Rate,3.5
2012/05/02,Overnight_Repo_Rate,4
2012/06/06,Cash_Rate_Target,3.5
2012/06/06,Exchange_Settlement_Rate,3.25
2012/06/06,Overnight_Repo_Rate,3.75
2012/10/03,Cash_Rate_Target,3.25
2012/10/03,Exchange_Settlement_Rate,3
2012/10/03,Overnight_Repo_Rate,3.5
2012/12/05,Cash_Rate_Target,3
2012/12/05,Exchange_Settlement_Rate,2.75
2012/12/05,Overnight_Repo_Rate,3.25
2013/05/08,Cash_Rate_Target,2.75
2013/05/08,Exchange_Settlement_Rate,2.5
2013/05/08,Overnight_Repo_Rate,3
2013/08/07,Cash_Rate_Target,2.5
2013/08/07,Exchange_Settlement_Rate,2.25
2013/08/07,Overnight_Repo_Rate,2.75
2015/02/04,Cash_Rate_Target,2.25
2015/02/04,Exchange_Settlement_Rate,2
2015/02/04,Overnight_Repo_Rate,2.5
2015/05/06,Cash_Rate_Target,2
2015/05/06,Exchange_Settlement_Rate,1.75
2015/05/06,Overnight_Repo_Rate,2.25
2016/05/04,Cash_Rate_Target,1.75
2016/05/04,Exchange_Settlement_Rate,1.5
2016/05/04,Overnight_Repo_Rate,2
2016/08/03,Cash_Rate_Target,1.5
2016/08/03,Exchange_Settlement_Rate,1.25
2016/08/03,Overnight_Repo_Rate,1.75
2019/06/05,Cash_Rate_Target,1.25
2019/06/05,Exchange_Settlement_Rate,1
2019/06/05,Overnight_Repo_Rate,1.5
2019/07/03,Cash_Rate_Target,1
2019/07/03,Exchange_Settlement_Rate,0.75
2019/07/03,Overnight_Repo_Rate,1.25
2019/10/02,Cash_Rate_Target,0.75
2019/10/02,Exchange_Settlement_Rate,0.5
2019/10/02,Overnight_Repo_Rate,1
2020/03/04,Cash_Rate_Target,0.5
2020/03/04,Exchange_Settlement_Rate,0.25
2020/03/04,Overnight_Repo_Rate,0.75
2020/03/20,Cash_Rate_Target,0.25
2020/03/20,Exchange_Settlement_Rate,0.1
2020/03/20,Overnight_Repo_Rate,0.5
2020/11/04,Cash_Rate_Target,0.1
2020/11/04,Exchange_Settlement_Rate,0
2020/11/04,Overnight_Repo_Rate,0.35
2022/05/04,Cash_Rate_Target,0.35
2022/05/04,Exchange_Settlement_Rate,0.25
2022/05/04,Overnight_Repo_Rate,0.6
2022/06/08,Cash_Rate_Target,0.85
2022/06/08,Exchange_Settlement_Rate,0.75
2022/06/08,Overnight_Repo_Rate,1.1
2022/07/06,Cash_Rate_Target,1.35
2022/07/06,Exchange_Settlement_Rate,1.25
2022/07/06,Overnight_Repo_Rate,1.6
2022/08/03,Cash_Rate_Target,1.85
2022/08/03,Exchange_Settlement_Rate,1.75
2022/08/03,Overnight_Repo_Rate,2.1
2022/09/07,Cash_Rate_Target,2.35
2022/09/07,Exchange_Settlement_Rate,2.25
2022/09/07,Overnight_Repo_Rate,2.6
2022/10/05,Cash_Rate_Target,2.6
2022/10/05,Exchange_Settlement_Rate,2.5
2022/10/05,Overnight_Repo_Rate,2.85
2022/11/02,Cash_Rate_Target,2.85
2022/11/02,Exchange_Settlement_Rate,2.75
2022/11/02,Overnight_Repo_Rate,3.1
2022/12/07,Cash_Rate_Target,3.1
2022/12/07,Exchange_Settlement_Rate,3
2022/12/07,Overnight_Repo_Rate,3.35
2023/02/08,Cash_Rate_Target,3.35
2023/02/08,Exchange_Settlement_Rate,3.25
2023/02/08,Overnight_Repo_Rate,3.6
2023/03/08,Cash_Rate_Target,3.6
2023/03/08,Exchange_Settlement_Rate,3.5
2023/03/08,Overnight_Repo_Rate,3.85
2023/05/03,Cash_Rate_Target,3.85
2023/05/03,Exchange_Settlement_Rate,3.75
2023/05/03,Overnight_Repo_Rate,4.1
2023/06/07,Cash_Rate_Target,4.1
2023/06/07,Exchange_Settlement_Rate,4
2023/06/07,Overnight_Repo_Rate,4.35
2023/11/08,Cash_Rate_Target,4.35
2023/11/08,Exchange_Settlement_Rate,4.25
2023/11/08,Overnight_Repo_Rate,4.6
2025/02/19,Cash_Rate_Target,4.1
2025/02/19,Exchange_Settlement_Rate,4
2025/02/19,Overnight_Repo_Rate,4.35
2025/05/21,Cash_Rate_Target,3.85
2025/05/21,Exchange_Settlement_Rate,3.75
2025/05/21,Overnight_Repo_Rate,4.1
2025/08/13,Cash_Rate_Target,3.6
2025/08/13,Exchange_Settlement_Rate,3.5
2025/08/13,Overnight_Repo_Rate,3.85
