Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2024/12/01,25-34 years,Males,93.0048288
Capital Region,2024/12/01,25-34 years,Females,84.85543547
Capital Region,2024/12/01,35-44 years,Males,91.57977823
Capital Region,2024/12/01,35-44 years,Females,88.64531418
Capital Region,2024/12/01,45-54 years,Males,84.82506123
Capital Region,2024/12/01,45-54 years,Females,82.62906991
Capital Region,2024/12/01,55-64 years,Males,66.96962436
Capital Region,2024/12/01,55-64 years,Females,67.11943786
Capital Region,2024/12/01,65 years and over,Males,20.36075778
Capital Region,2024/12/01,65 years and over,Females,15.33245602
Capital Region,2024/11/01,15-24 years,Males,76.63416021
Capital Region,2024/11/01,15-24 years,Females,76.871556
Capital Region,2024/11/01,25-34 years,Males,92.82622431
Capital Region,2024/11/01,25-34 years,Females,84.62904471
Capital Region,2024/11/01,35-44 years,Males,91.36361925
Capital Region,2024/11/01,35-44 years,Females,88.45084162
Capital Region,2024/11/01,45-54 years,Males,84.61872005
Capital Region,2024/11/01,45-54 years,Females,82.50068224
Capital Region,2024/11/01,55-64 years,Males,66.42716691
Capital Region,2024/11/01,55-64 years,Females,66.70220107
Capital Region,2024/11/01,65 years and over,Males,20.48500395
Capital Region,2024/11/01,65 years and over,Females,15.14810469
Capital Region,2024/10/01,15-24 years,Males,76.23376609
Capital Region,2024/10/01,15-24 years,Females,76.07175864
Capital Region,2024/10/01,25-34 years,Males,92.44879391
Capital Region,2024/10/01,25-34 years,Females,84.37176098
Capital Region,2024/10/01,35-44 years,Males,91.01995168
Capital Region,2024/10/01,35-44 years,Females,88.07682091
Capital Region,2024/10/01,45-54 years,Males,84.3183695
Capital Region,2024/10/01,45-54 years,Females,82.2498454
Capital Region,2024/10/01,55-64 years,Males,65.87262861
Capital Region,2024/10/01,55-64 years,Females,66.03091291
Capital Region,2024/10/01,65 years and over,Males,20.20058225
Capital Region,2024/10/01,65 years and over,Females,14.45412225
Capital Region,2024/09/01,15-24 years,Males,76.52551973
Capital Region,2024/09/01,15-24 years,Females,76.09886689
Capital Region,2024/09/01,25-34 years,Males,92.39554796
Capital Region,2024/09/01,25-34 years,Females,84.9461805
Capital Region,2024/09/01,35-44 years,Males,91.18789034
Capital Region,2024/09/01,35-44 years,Females,88.39085681
Capital Region,2024/09/01,45-54 years,Males,84.82837553
Capital Region,2024/09/01,45-54 years,Females,82.77324297
Capital Region,2024/09/01,55-64 years,Males,66.62534632
Capital Region,2024/09/01,55-64 years,Females,66.38325417
Capital Region,2024/09/01,65 years and over,Males,20.84152976
Capital Region,2024/09/01,65 years and over,Females,14.22392948
Capital Region,2024/08/01,15-24 years,Males,76.04743592
Capital Region,2024/08/01,15-24 years,Females,75.71446824
Capital Region,2024/08/01,25-34 years,Males,92.32975258
Capital Region,2024/08/01,25-34 years,Females,85.13914315
Capital Region,2024/08/01,35-44 years,Males,90.99478756
Capital Region,2024/08/01,35-44 years,Females,88.36178442
Capital Region,2024/08/01,45-54 years,Males,84.94474708
Capital Region,2024/08/01,45-54 years,Females,82.84779273
Capital Region,2024/08/01,55-64 years,Males,66.66591227
Capital Region,2024/08/01,55-64 years,Females,66.07328349
Capital Region,2024/08/01,65 years and over,Males,21.05283645
Capital Region,2024/08/01,65 years and over,Females,13.65954037
Capital Region,2024/07/01,15-24 years,Males,76.20227143
Capital Region,2024/07/01,15-24 years,Females,76.25242997
Capital Region,2024/07/01,25-34 years,Males,92.75655218
Capital Region,2024/07/01,25-34 years,Females,85.81946755
Capital Region,2024/07/01,35-44 years,Males,90.95354712
Capital Region,2024/07/01,35-44 years,Females,88.55117184
Capital Region,2024/07/01,45-54 years,Males,85.38996276
Capital Region,2024/07/01,45-54 years,Females,82.98052444
Capital Region,2024/07/01,55-64 years,Males,67.42851905
Capital Region,2024/07/01,55-64 years,Females,66.20832431
Capital Region,2024/07/01,65 years and over,Males,21.80055629
Capital Region,2024/07/01,65 years and over,Females,13.33375614
Capital Region,2024/06/01,15-24 years,Males,75.93605556
Capital Region,2024/06/01,15-24 years,Females,75.95198707
Capital Region,2024/06/01,25-34 years,Males,92.98146084
Capital Region,2024/06/01,25-34 years,Females,85.69191688
Capital Region,2024/06/01,35-44 years,Males,90.48783488
Capital Region,2024/06/01,35-44 years,Females,88.39477821
Capital Region,2024/06/01,45-54 years,Males,85.341042
Capital Region,2024/06/01,45-54 years,Females,82.53398044
Capital Region,2024/06/01,55-64 years,Males,67.49009328
Capital Region,2024/06/01,55-64 years,Females,65.49400318
Capital Region,2024/06/01,65 years and over,Males,22.0258891
Capital Region,2024/06/01,65 years and over,Females,12.77349841
Capital Region,2024/05/01,15-24 years,Males,76.20313965
Capital Region,2024/05/01,15-24 years,Females,76.39580734
Capital Region,2024/05/01,25-34 years,Males,93.4702407
Capital Region,2024/05/01,25-34 years,Females,85.61089415
Capital Region,2024/05/01,35-44 years,Males,90.25627597
Capital Region,2024/05/01,35-44 years,Females,88.27700059
Capital Region,2024/05/01,45-54 years,Males,85.63499151
Capital Region,2024/05/01,45-54 years,Females,82.6558046
Capital Region,2024/05/01,55-64 years,Males,68.19424422
Capital Region,2024/05/01,55-64 years,Females,65.41472779
Capital Region,2024/05/01,65 years and over,Males,22.12127501
Capital Region,2024/05/01,65 years and over,Females,12.45179386
Capital Region,2024/04/01,15-24 years,Males,76.87792853
Capital Region,2024/04/01,15-24 years,Females,76.67884037
Capital Region,2024/04/01,25-34 years,Males,93.64674209
