Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Sydney - North Sydney and Hornsby,2014/03/01,45-54 years,Males,94.07492111
Sydney - North Sydney and Hornsby,2014/03/01,45-54 years,Females,79.78526124
Sydney - North Sydney and Hornsby,2014/03/01,55-64 years,Males,79.4857554
Sydney - North Sydney and Hornsby,2014/03/01,55-64 years,Females,64.65377802
Sydney - North Sydney and Hornsby,2014/03/01,65 years and over,Males,28.34907506
Sydney - North Sydney and Hornsby,2014/03/01,65 years and over,Females,14.26919856
Sydney - North Sydney and Hornsby,2014/02/01,15-24 years,Males,58.95774064
Sydney - North Sydney and Hornsby,2014/02/01,15-24 years,Females,59.79267365
Sydney - North Sydney and Hornsby,2014/02/01,25-34 years,Males,93.89811707
Sydney - North Sydney and Hornsby,2014/02/01,25-34 years,Females,84.73151794
Sydney - North Sydney and Hornsby,2014/02/01,35-44 years,Males,96.02151265
Sydney - North Sydney and Hornsby,2014/02/01,35-44 years,Females,78.31828107
Sydney - North Sydney and Hornsby,2014/02/01,45-54 years,Males,93.97847009
Sydney - North Sydney and Hornsby,2014/02/01,45-54 years,Females,79.04665707
Sydney - North Sydney and Hornsby,2014/02/01,55-64 years,Males,78.86461596
Sydney - North Sydney and Hornsby,2014/02/01,55-64 years,Females,64.17237098
Sydney - North Sydney and Hornsby,2014/02/01,65 years and over,Males,27.93166748
Sydney - North Sydney and Hornsby,2014/02/01,65 years and over,Females,14.00644259
Sydney - North Sydney and Hornsby,2014/01/01,15-24 years,Males,58.66811405
Sydney - North Sydney and Hornsby,2014/01/01,15-24 years,Females,60.06759804
Sydney - North Sydney and Hornsby,2014/01/01,25-34 years,Males,93.6973945
Sydney - North Sydney and Hornsby,2014/01/01,25-34 years,Females,83.93267985
Sydney - North Sydney and Hornsby,2014/01/01,35-44 years,Males,95.69352884
Sydney - North Sydney and Hornsby,2014/01/01,35-44 years,Females,76.95860344
Sydney - North Sydney and Hornsby,2014/01/01,45-54 years,Males,93.47542992
Sydney - North Sydney and Hornsby,2014/01/01,45-54 years,Females,77.58136468
Sydney - North Sydney and Hornsby,2014/01/01,55-64 years,Males,77.92892972
Sydney - North Sydney and Hornsby,2014/01/01,55-64 years,Females,62.79717567
Sydney - North Sydney and Hornsby,2014/01/01,65 years and over,Males,26.83073844
Sydney - North Sydney and Hornsby,2014/01/01,65 years and over,Females,13.4197405
Sydney - North Sydney and Hornsby,2013/12/01,15-24 years,Males,59.42419698
Sydney - North Sydney and Hornsby,2013/12/01,15-24 years,Females,60.50408213
Sydney - North Sydney and Hornsby,2013/12/01,25-34 years,Males,94.28852267
Sydney - North Sydney and Hornsby,2013/12/01,25-34 years,Females,84.28835981
Sydney - North Sydney and Hornsby,2013/12/01,35-44 years,Males,95.68700449
Sydney - North Sydney and Hornsby,2013/12/01,35-44 years,Females,77.86732786
Sydney - North Sydney and Hornsby,2013/12/01,45-54 years,Males,93.68013759
Sydney - North Sydney and Hornsby,2013/12/01,45-54 years,Females,78.18783252
Sydney - North Sydney and Hornsby,2013/12/01,55-64 years,Males,78.6044896
Sydney - North Sydney and Hornsby,2013/12/01,55-64 years,Females,63.7383524
Sydney - North Sydney and Hornsby,2013/12/01,65 years and over,Males,27.53238508
Sydney - North Sydney and Hornsby,2013/12/01,65 years and over,Females,13.82823497
Sydney - North Sydney and Hornsby,2013/11/01,15-24 years,Males,55.96856214
Sydney - North Sydney and Hornsby,2013/11/01,15-24 years,Females,57.83769984
Sydney - North Sydney and Hornsby,2013/11/01,25-34 years,Males,94.13360164
Sydney - North Sydney and Hornsby,2013/11/01,25-34 years,Females,84.04100491
Sydney - North Sydney and Hornsby,2013/11/01,35-44 years,Males,95.47605859
Sydney - North Sydney and Hornsby,2013/11/01,35-44 years,Females,77.55601612
Sydney - North Sydney and Hornsby,2013/11/01,45-54 years,Males,93.56694356
Sydney - North Sydney and Hornsby,2013/11/01,45-54 years,Females,77.88420658
Sydney - North Sydney and Hornsby,2013/11/01,55-64 years,Males,78.41853386
Sydney - North Sydney and Hornsby,2013/11/01,55-64 years,Females,63.38674938
Sydney - North Sydney and Hornsby,2013/11/01,65 years and over,Males,27.10033632
Sydney - North Sydney and Hornsby,2013/11/01,65 years and over,Females,13.4651076
Sydney - North Sydney and Hornsby,2013/10/01,15-24 years,Males,57.67664983
Sydney - North Sydney and Hornsby,2013/10/01,15-24 years,Females,59.68177828
Sydney - North Sydney and Hornsby,2013/10/01,25-34 years,Males,94.27356995
Sydney - North Sydney and Hornsby,2013/10/01,25-34 years,Females,84.463323
Sydney - North Sydney and Hornsby,2013/10/01,35-44 years,Males,95.50306156
Sydney - North Sydney and Hornsby,2013/10/01,35-44 years,Females,77.80940563
Sydney - North Sydney and Hornsby,2013/10/01,45-54 years,Males,93.84495753
Sydney - North Sydney and Hornsby,2013/10/01,45-54 years,Females,78.68254985
Sydney - North Sydney and Hornsby,2013/10/01,55-64 years,Males,79.09487994
Sydney - North Sydney and Hornsby,2013/10/01,55-64 years,Females,63.99030727
Sydney - North Sydney and Hornsby,2013/10/01,65 years and over,Males,27.48089785
Sydney - North Sydney and Hornsby,2013/10/01,65 years and over,Females,13.56968936
Sydney - North Sydney and Hornsby,2013/09/01,15-24 years,Males,58.43617773
Sydney - North Sydney and Hornsby,2013/09/01,15-24 years,Females,60.86720104
Sydney - North Sydney and Hornsby,2013/09/01,25-34 years,Males,94.67769595
Sydney - North Sydney and Hornsby,2013/09/01,25-34 years,Females,84.92612401
Sydney - North Sydney and Hornsby,2013/09/01,35-44 years,Males,95.52413318
Sydney - North Sydney and Hornsby,2013/09/01,35-44 years,Females,78.24157264
Sydney - North Sydney and Hornsby,2013/09/01,45-54 years,Males,94.05801165
Sydney - North Sydney and Hornsby,2013/09/01,45-54 years,Females,79.39321839
Sydney - North Sydney and Hornsby,2013/09/01,55-64 years,Males,79.87758225
Sydney - North Sydney and Hornsby,2013/09/01,55-64 years,Females,64.78802456
Sydney - North Sydney and Hornsby,2013/09/01,65 years and over,Males,28.10110531
Sydney - North Sydney and Hornsby,2013/09/01,65 years and over,Females,13.76544882
Sydney - North Sydney and Hornsby,2013/08/01,15-24 years,Males,57.09134976
Sydney - North Sydney and Hornsby,2013/08/01,15-24 years,Females,58.2389562
Sydney - North Sydney and Hornsby,2013/08/01,25-34 years,Males,94.47996663
Sydney - North Sydney and Hornsby,2013/08/01,25-34 years,Females,84.09866941
Sydney - North Sydney and Hornsby,2013/08/01,35-44 years,Males,95.21612898
Sydney - North Sydney and Hornsby,2013/08/01,35-44 years,Females,77.28558382
Sydney - North Sydney and Hornsby,2013/08/01,45-54 years,Males,93.76886359
Sydney - North Sydney and Hornsby,2013/08/01,45-54 years,Females,78.49584726
Sydney - North Sydney and Hornsby,2013/08/01,55-64 years,Males,79.36005728
Sydney - North Sydney and Hornsby,2013/08/01,55-64 years,Females,64.0120542
Sydney - North Sydney and Hornsby,2013/08/01,65 years and over,Males,27.49261832
Sydney - North Sydney and Hornsby,2013/08/01,65 years and over,Females,13.10003332
Sydney - North Sydney and Hornsby,2013/07/01,15-24 years,Males,60.04415603
Sydney - North Sydney and Hornsby,2013/07/01,15-24 years,Females,60.30639508
Sydney - North Sydney and Hornsby,2013/07/01,25-34 years,Males,94.92283145
Sydney - North Sydney and Hornsby,2013/07/01,25-34 years,Females,84.27957442
Sydney - North Sydney and Hornsby,2013/07/01,35-44 years,Males,95.36107516
Sydney - North Sydney and Hornsby,2013/07/01,35-44 years,Females,78.03328917
Sydney - North Sydney and Hornsby,2013/07/01,45-54 years,Males,93.9013861
Sydney - North Sydney and Hornsby,2013/07/01,45-54 years,Females,78.39441618
Sydney - North Sydney and Hornsby,2013/07/01,55-64 years,Males,79.93172256
Sydney - North Sydney and Hornsby,2013/07/01,55-64 years,Females,64.9371004
Sydney - North Sydney and Hornsby,2013/07/01,65 years and over,Males,28.63499983
Sydney - North Sydney and Hornsby,2013/07/01,65 years and over,Females,13.2777962
Sydney - North Sydney and Hornsby,2013/06/01,15-24 years,Males,60.04067129
Sydney - North Sydney and Hornsby,2013/06/01,15-24 years,Females,59.90709965
Sydney - North Sydney and Hornsby,2013/06/01,25-34 years,Males,94.96641068
Sydney - North Sydney and Hornsby,2013/06/01,25-34 years,Females,83.57924207
Sydney - North Sydney and Hornsby,2013/06/01,35-44 years,Males,95.29662112
Sydney - North Sydney and Hornsby,2013/06/01,35-44 years,Females,78.32768226
Sydney - North Sydney and Hornsby,2013/06/01,45-54 years,Males,93.87058408
Sydney - North Sydney and Hornsby,2013/06/01,45-54 years,Females,77.62364098
Sydney - North Sydney and Hornsby,2013/06/01,55-64 years,Males,80.16849337
Sydney - North Sydney and Hornsby,2013/06/01,55-64 years,Females,65.00621899
Sydney - North Sydney and Hornsby,2013/06/01,65 years and over,Males,28.93493488
Sydney - North Sydney and Hornsby,2013/06/01,65 years and over,Females,12.94667842
Sydney - North Sydney and Hornsby,2013/05/01,15-24 years,Males,61.37754789
Sydney - North Sydney and Hornsby,2013/05/01,15-24 years,Females,60.82492761
Sydney - North Sydney and Hornsby,2013/05/01,25-34 years,Males,94.98194972
Sydney - North Sydney and Hornsby,2013/05/01,25-34 years,Females,83.35363806
Sydney - North Sydney and Hornsby,2013/05/01,35-44 years,Males,95.36124503
Sydney - North Sydney and Hornsby,2013/05/01,35-44 years,Females,78.87300784
Sydney - North Sydney and Hornsby,2013/05/01,45-54 years,Males,94.0216132
Sydney - North Sydney and Hornsby,2013/05/01,45-54 years,Females,77.32892782
Sydney - North Sydney and Hornsby,2013/05/01,55-64 years,Males,80.74500628
Sydney - North Sydney and Hornsby,2013/05/01,55-64 years,Females,65.55178017
Sydney - North Sydney and Hornsby,2013/05/01,65 years and over,Males,29.56774966
Sydney - North Sydney and Hornsby,2013/05/01,65 years and over,Females,12.90780904
Sydney - North Sydney and Hornsby,2013/04/01,15-24 years,Males,62.30503937
Sydney - North Sydney and Hornsby,2013/04/01,15-24 years,Females,62.11073409
Sydney - North Sydney and Hornsby,2013/04/01,25-34 years,Males,95.14235596
Sydney - North Sydney and Hornsby,2013/04/01,25-34 years,Females,83.11562463
Sydney - North Sydney and Hornsby,2013/04/01,35-44 years,Males,95.41732569
Sydney - North Sydney and Hornsby,2013/04/01,35-44 years,Females,79.28512712
Sydney - North Sydney and Hornsby,2013/04/01,45-54 years,Males,93.99896412
Sydney - North Sydney and Hornsby,2013/04/01,45-54 years,Females,77.10386201
Sydney - North Sydney and Hornsby,2013/04/01,55-64 years,Males,81.15048212
Sydney - North Sydney and Hornsby,2013/04/01,55-64 years,Females,65.97493969
Sydney - North Sydney and Hornsby,2013/04/01,65 years and over,Males,29.88897965
Sydney - North Sydney and Hornsby,2013/04/01,65 years and over,Females,12.85332588
Sydney - North Sydney and Hornsby,2013/03/01,15-24 years,Males,63.58682004
Sydney - North Sydney and Hornsby,2013/03/01,15-24 years,Females,62.22884402
Sydney - North Sydney and Hornsby,2013/03/01,25-34 years,Males,95.02700124
Sydney - North Sydney and Hornsby,2013/03/01,25-34 years,Females,82.85923152
Sydney - North Sydney and Hornsby,2013/03/01,35-44 years,Males,95.44661486
Sydney - North Sydney and Hornsby,2013/03/01,35-44 years,Females,79.34546162
Sydney - North Sydney and Hornsby,2013/03/01,45-54 years,Males,94.12292994
Sydney - North Sydney and Hornsby,2013/03/01,45-54 years,Females,76.83883677
Sydney - North Sydney and Hornsby,2013/03/01,55-64 years,Males,80.96954605
Sydney - North Sydney and Hornsby,2013/03/01,55-64 years,Females,65.84006455
Sydney - North Sydney and Hornsby,2013/03/01,65 years and over,Males,29.84113116
Sydney - North Sydney and Hornsby,2013/03/01,65 years and over,Females,12.74169578
Sydney - North Sydney and Hornsby,2013/02/01,15-24 years,Males,64.25788824
Sydney - North Sydney and Hornsby,2013/02/01,15-24 years,Females,62.39888353
Sydney - North Sydney and Hornsby,2013/02/01,25-34 years,Males,94.8290477
Sydney - North Sydney and Hornsby,2013/02/01,25-34 years,Females,82.29724852
Sydney - North Sydney and Hornsby,2013/02/01,35-44 years,Males,95.36588272
Sydney - North Sydney and Hornsby,2013/02/01,35-44 years,Females,78.74218138
Sydney - North Sydney and Hornsby,2013/02/01,45-54 years,Males,94.01911044
Sydney - North Sydney and Hornsby,2013/02/01,45-54 years,Females,76.37681209
Sydney - North Sydney and Hornsby,2013/02/01,55-64 years,Males,80.3117492
Sydney - North Sydney and Hornsby,2013/02/01,55-64 years,Females,65.15447597
Sydney - North Sydney and Hornsby,2013/02/01,65 years and over,Males,29.4859042
Sydney - North Sydney and Hornsby,2013/02/01,65 years and over,Females,12.37659675
Sydney - North Sydney and Hornsby,2013/01/01,15-24 years,Males,63.54713767
Sydney - North Sydney and Hornsby,2013/01/01,15-24 years,Females,63.14354319
Sydney - North Sydney and Hornsby,2013/01/01,25-34 years,Males,94.38033208
Sydney - North Sydney and Hornsby,2013/01/01,25-34 years,Females,81.29647958
Sydney - North Sydney and Hornsby,2013/01/01,35-44 years,Males,95.04529567
Sydney - North Sydney and Hornsby,2013/01/01,35-44 years,Females,76.62831561
Sydney - North Sydney and Hornsby,2013/01/01,45-54 years,Males,93.65085672
Sydney - North Sydney and Hornsby,2013/01/01,45-54 years,Females,75.22334695
Sydney - North Sydney and Hornsby,2013/01/01,55-64 years,Males,79.02157087
Sydney - North Sydney and Hornsby,2013/01/01,55-64 years,Females,63.64061864
Sydney - North Sydney and Hornsby,2013/01/01,65 years and over,Males,28.19282394
Sydney - North Sydney and Hornsby,2013/01/01,65 years and over,Females,11.64826903
Sydney - North Sydney and Hornsby,2012/12/01,15-24 years,Males,64.87720773
Sydney - North Sydney and Hornsby,2012/12/01,15-24 years,Females,63.74869771
Sydney - North Sydney and Hornsby,2012/12/01,25-34 years,Males,94.36237099
Sydney - North Sydney and Hornsby,2012/12/01,25-34 years,Females,82.16156264
Sydney - North Sydney and Hornsby,2012/12/01,35-44 years,Males,95.29214878
Sydney - North Sydney and Hornsby,2012/12/01,35-44 years,Females,77.17711605
Sydney - North Sydney and Hornsby,2012/12/01,45-54 years,Males,93.92723903
Sydney - North Sydney and Hornsby,2012/12/01,45-54 years,Females,76.38781917
Sydney - North Sydney and Hornsby,2012/12/01,55-64 years,Males,79.58700061
Sydney - North Sydney and Hornsby,2012/12/01,55-64 years,Females,64.44317872
Sydney - North Sydney and Hornsby,2012/12/01,65 years and over,Males,28.78739316
Sydney - North Sydney and Hornsby,2012/12/01,65 years and over,Females,11.96248853
Sydney - North Sydney and Hornsby,2012/11/01,15-24 years,Males,61.32094611
Sydney - North Sydney and Hornsby,2012/11/01,15-24 years,Females,59.3835675
Sydney - North Sydney and Hornsby,2012/11/01,25-34 years,Males,93.8542813
Sydney - North Sydney and Hornsby,2012/11/01,25-34 years,Females,82.1286865
Sydney - North Sydney and Hornsby,2012/11/01,35-44 years,Males,95.30681386
Sydney - North Sydney and Hornsby,2012/11/01,35-44 years,Females,76.65723048
Sydney - North Sydney and Hornsby,2012/11/01,45-54 years,Males,93.76094013
Sydney - North Sydney and Hornsby,2012/11/01,45-54 years,Females,76.42812676
Sydney - North Sydney and Hornsby,2012/11/01,55-64 years,Males,79.26462842
Sydney - North Sydney and Hornsby,2012/11/01,55-64 years,Females,63.8147649
Sydney - North Sydney and Hornsby,2012/11/01,65 years and over,Males,27.95738963
Sydney - North Sydney and Hornsby,2012/11/01,65 years and over,Females,11.65082148
Sydney - North Sydney and Hornsby,2012/10/01,15-24 years,Males,61.70810289
Sydney - North Sydney and Hornsby,2012/10/01,15-24 years,Females,59.63383987
Sydney - North Sydney and Hornsby,2012/10/01,25-34 years,Males,93.89620813
Sydney - North Sydney and Hornsby,2012/10/01,25-34 years,Females,82.87056935
Sydney - North Sydney and Hornsby,2012/10/01,35-44 years,Males,95.54710847
Sydney - North Sydney and Hornsby,2012/10/01,35-44 years,Females,76.98769965
Sydney - North Sydney and Hornsby,2012/10/01,45-54 years,Males,93.74895695
Sydney - North Sydney and Hornsby,2012/10/01,45-54 years,Females,77.18137852
Sydney - North Sydney and Hornsby,2012/10/01,55-64 years,Males,79.63672765
Sydney - North Sydney and Hornsby,2012/10/01,55-64 years,Females,64.31004659
Sydney - North Sydney and Hornsby,2012/10/01,65 years and over,Males,28.01752863
Sydney - North Sydney and Hornsby,2012/10/01,65 years and over,Females,11.77941189
Sydney - North Sydney and Hornsby,2012/09/01,15-24 years,Males,63.56372205
Sydney - North Sydney and Hornsby,2012/09/01,15-24 years,Females,60.62130528
Sydney - North Sydney and Hornsby,2012/09/01,25-34 years,Males,94.08641737
Sydney - North Sydney and Hornsby,2012/09/01,25-34 years,Females,83.71802818
Sydney - North Sydney and Hornsby,2012/09/01,35-44 years,Males,95.78088539
Sydney - North Sydney and Hornsby,2012/09/01,35-44 years,Females,77.7166215
Sydney - North Sydney and Hornsby,2012/09/01,45-54 years,Males,93.84911056
Sydney - North Sydney and Hornsby,2012/09/01,45-54 years,Females,78.42802657
Sydney - North Sydney and Hornsby,2012/09/01,55-64 years,Males,80.34622306
Sydney - North Sydney and Hornsby,2012/09/01,55-64 years,Females,65.45928892
Sydney - North Sydney and Hornsby,2012/09/01,65 years and over,Males,28.33050604
Sydney - North Sydney and Hornsby,2012/09/01,65 years and over,Females,12.11886474
Sydney - North Sydney and Hornsby,2012/08/01,15-24 years,Males,60.03537748
Sydney - North Sydney and Hornsby,2012/08/01,15-24 years,Females,56.89883294
Sydney - North Sydney and Hornsby,2012/08/01,25-34 years,Males,93.20620902
Sydney - North Sydney and Hornsby,2012/08/01,25-34 years,Females,82.50980732
Sydney - North Sydney and Hornsby,2012/08/01,35-44 years,Males,95.48398164
Sydney - North Sydney and Hornsby,2012/08/01,35-44 years,Females,76.20222086
Sydney - North Sydney and Hornsby,2012/08/01,45-54 years,Males,93.16171399
Sydney - North Sydney and Hornsby,2012/08/01,45-54 years,Females,77.12586903
Sydney - North Sydney and Hornsby,2012/08/01,55-64 years,Males,79.26602307
Sydney - North Sydney and Hornsby,2012/08/01,55-64 years,Females,63.85791112
Sydney - North Sydney and Hornsby,2012/08/01,65 years and over,Males,26.43552401
Sydney - North Sydney and Hornsby,2012/08/01,65 years and over,Females,11.27583792
Sydney - North Sydney and Hornsby,2012/07/01,15-24 years,Males,60.34745803
Sydney - North Sydney and Hornsby,2012/07/01,15-24 years,Females,59.37947734
Sydney - North Sydney and Hornsby,2012/07/01,25-34 years,Males,93.45321902
Sydney - North Sydney and Hornsby,2012/07/01,25-34 years,Females,82.84200811
Sydney - North Sydney and Hornsby,2012/07/01,35-44 years,Males,95.66398654
Sydney - North Sydney and Hornsby,2012/07/01,35-44 years,Females,76.58667511
Sydney - North Sydney and Hornsby,2012/07/01,45-54 years,Males,93.22422441
Sydney - North Sydney and Hornsby,2012/07/01,45-54 years,Females,77.55837641
Sydney - North Sydney and Hornsby,2012/07/01,55-64 years,Males,80.0029406
Sydney - North Sydney and Hornsby,2012/07/01,55-64 years,Females,64.36773293
Sydney - North Sydney and Hornsby,2012/07/01,65 years and over,Males,26.58433141
Sydney - North Sydney and Hornsby,2012/07/01,65 years and over,Females,11.4178877
Sydney - North Sydney and Hornsby,2012/06/01,15-24 years,Males,60.78126204
Sydney - North Sydney and Hornsby,2012/06/01,15-24 years,Females,61.20897946
Sydney - North Sydney and Hornsby,2012/06/01,25-34 years,Males,93.80689367
Sydney - North Sydney and Hornsby,2012/06/01,25-34 years,Females,83.38784785
Sydney - North Sydney and Hornsby,2012/06/01,35-44 years,Males,95.76955786
Sydney - North Sydney and Hornsby,2012/06/01,35-44 years,Females,77.13211531
Sydney - North Sydney and Hornsby,2012/06/01,45-54 years,Males,93.33221532
Sydney - North Sydney and Hornsby,2012/06/01,45-54 years,Females,77.97208344
Sydney - North Sydney and Hornsby,2012/06/01,55-64 years,Males,80.63770179
Sydney - North Sydney and Hornsby,2012/06/01,55-64 years,Females,64.71030854
Sydney - North Sydney and Hornsby,2012/06/01,65 years and over,Males,26.79573176
Sydney - North Sydney and Hornsby,2012/06/01,65 years and over,Females,11.51592823
Sydney - North Sydney and Hornsby,2012/05/01,15-24 years,Males,61.60252625
Sydney - North Sydney and Hornsby,2012/05/01,15-24 years,Females,62.39666955
Sydney - North Sydney and Hornsby,2012/05/01,25-34 years,Males,94.18289164
Sydney - North Sydney and Hornsby,2012/05/01,25-34 years,Females,83.70818835
Sydney - North Sydney and Hornsby,2012/05/01,35-44 years,Males,95.85342273
Sydney - North Sydney and Hornsby,2012/05/01,35-44 years,Females,77.86418018
Sydney - North Sydney and Hornsby,2012/05/01,45-54 years,Males,93.40349721
Sydney - North Sydney and Hornsby,2012/05/01,45-54 years,Females,78.09916041
Sydney - North Sydney and Hornsby,2012/05/01,55-64 years,Males,80.87013072
Sydney - North Sydney and Hornsby,2012/05/01,55-64 years,Females,64.83117139
Sydney - North Sydney and Hornsby,2012/05/01,65 years and over,Males,26.82951867
Sydney - North Sydney and Hornsby,2012/05/01,65 years and over,Females,11.59972902
Sydney - North Sydney and Hornsby,2012/04/01,15-24 years,Males,60.37773598
Sydney - North Sydney and Hornsby,2012/04/01,15-24 years,Females,61.79483693
Sydney - North Sydney and Hornsby,2012/04/01,25-34 years,Males,94.27700957
Sydney - North Sydney and Hornsby,2012/04/01,25-34 years,Females,83.25528309
Sydney - North Sydney and Hornsby,2012/04/01,35-44 years,Males,95.71027714
Sydney - North Sydney and Hornsby,2012/04/01,35-44 years,Females,77.47293374
Sydney - North Sydney and Hornsby,2012/04/01,45-54 years,Males,93.34817828
Sydney - North Sydney and Hornsby,2012/04/01,45-54 years,Females,77.4800125
Sydney - North Sydney and Hornsby,2012/04/01,55-64 years,Males,80.48081751
Sydney - North Sydney and Hornsby,2012/04/01,55-64 years,Females,64.13241783
Sydney - North Sydney and Hornsby,2012/04/01,65 years and over,Males,26.13160811
Sydney - North Sydney and Hornsby,2012/04/01,65 years and over,Females,11.20083721
Sydney - North Sydney and Hornsby,2012/03/01,15-24 years,Males,61.41362277
Sydney - North Sydney and Hornsby,2012/03/01,15-24 years,Females,63.33590126
Sydney - North Sydney and Hornsby,2012/03/01,25-34 years,Males,94.91528233
Sydney - North Sydney and Hornsby,2012/03/01,25-34 years,Females,83.68456552
Sydney - North Sydney and Hornsby,2012/03/01,35-44 years,Males,95.82244655
Sydney - North Sydney and Hornsby,2012/03/01,35-44 years,Females,78.39341709
Sydney - North Sydney and Hornsby,2012/03/01,45-54 years,Males,93.63345992
Sydney - North Sydney and Hornsby,2012/03/01,45-54 years,Females,78.08345924
Sydney - North Sydney and Hornsby,2012/03/01,55-64 years,Males,80.79910717
Sydney - North Sydney and Hornsby,2012/03/01,55-64 years,Females,64.92211826
Sydney - North Sydney and Hornsby,2012/03/01,65 years and over,Males,26.71777555
Sydney - North Sydney and Hornsby,2012/03/01,65 years and over,Females,11.46861295
Sydney - North Sydney and Hornsby,2012/02/01,15-24 years,Males,61.73815841
Sydney - North Sydney and Hornsby,2012/02/01,15-24 years,Females,63.32484965
Sydney - North Sydney and Hornsby,2012/02/01,25-34 years,Males,95.00733894
Sydney - North Sydney and Hornsby,2012/02/01,25-34 years,Females,83.09885242
Sydney - North Sydney and Hornsby,2012/02/01,35-44 years,Males,95.67382784
Sydney - North Sydney and Hornsby,2012/02/01,35-44 years,Females,77.81284376
Sydney - North Sydney and Hornsby,2012/02/01,45-54 years,Males,93.50915171
Sydney - North Sydney and Hornsby,2012/02/01,45-54 years,Females,77.48946805
Sydney - North Sydney and Hornsby,2012/02/01,55-64 years,Males,80.21954198
Sydney - North Sydney and Hornsby,2012/02/01,55-64 years,Females,64.21437638
Sydney - North Sydney and Hornsby,2012/02/01,65 years and over,Males,26.06062552
Sydney - North Sydney and Hornsby,2012/02/01,65 years and over,Females,11.10800589
Sydney - North Sydney and Hornsby,2012/01/01,15-24 years,Males,61.10104943
Sydney - North Sydney and Hornsby,2012/01/01,15-24 years,Females,62.54563254
Sydney - North Sydney and Hornsby,2012/01/01,25-34 years,Males,94.68305869
Sydney - North Sydney and Hornsby,2012/01/01,25-34 years,Females,82.43929419
Sydney - North Sydney and Hornsby,2012/01/01,35-44 years,Males,95.42794091
Sydney - North Sydney and Hornsby,2012/01/01,35-44 years,Females,76.62207996
Sydney - North Sydney and Hornsby,2012/01/01,45-54 years,Males,93.36971305
Sydney - North Sydney and Hornsby,2012/01/01,45-54 years,Females,76.53678071
Sydney - North Sydney and Hornsby,2012/01/01,55-64 years,Males,79.64193433
Sydney - North Sydney and Hornsby,2012/01/01,55-64 years,Females,63.40026664
Sydney - North Sydney and Hornsby,2012/01/01,65 years and over,Males,25.40920616
Sydney - North Sydney and Hornsby,2012/01/01,65 years and over,Females,10.81651491
Sydney - Northern Beaches,2025/08/01,15-24 years,Males,65.65192104
Sydney - Northern Beaches,2025/08/01,15-24 years,Females,72.92283516
Sydney - Northern Beaches,2025/08/01,25-34 years,Males,93.5337163
Sydney - Northern Beaches,2025/08/01,25-34 years,Females,90.76363146
Sydney - Northern Beaches,2025/08/01,35-44 years,Males,95.63886176
Sydney - Northern Beaches,2025/08/01,35-44 years,Females,87.56536324
Sydney - Northern Beaches,2025/08/01,45-54 years,Males,94.94227051
Sydney - Northern Beaches,2025/08/01,45-54 years,Females,86.69936214
Sydney - Northern Beaches,2025/08/01,55-64 years,Males,79.982682
Sydney - Northern Beaches,2025/08/01,55-64 years,Females,73.41579806
Sydney - Northern Beaches,2025/08/01,65 years and over,Males,25.71671706
Sydney - Northern Beaches,2025/08/01,65 years and over,Females,18.23642212
Sydney - Northern Beaches,2025/07/01,15-24 years,Males,67.05364251
Sydney - Northern Beaches,2025/07/01,15-24 years,Females,74.87854653
Sydney - Northern Beaches,2025/07/01,25-34 years,Males,93.58969147
Sydney - Northern Beaches,2025/07/01,25-34 years,Females,91.02942782
Sydney - Northern Beaches,2025/07/01,35-44 years,Males,95.81201379
Sydney - Northern Beaches,2025/07/01,35-44 years,Females,87.85043573
Sydney - Northern Beaches,2025/07/01,45-54 years,Males,95.09614816
Sydney - Northern Beaches,2025/07/01,45-54 years,Females,86.75206743
Sydney - Northern Beaches,2025/07/01,55-64 years,Males,80.37926828
Sydney - Northern Beaches,2025/07/01,55-64 years,Females,73.6944347
Sydney - Northern Beaches,2025/07/01,65 years and over,Males,26.11171849
Sydney - Northern Beaches,2025/07/01,65 years and over,Females,18.58146241
Sydney - Northern Beaches,2025/06/01,15-24 years,Males,68.27267194
Sydney - Northern Beaches,2025/06/01,15-24 years,Females,74.67474179
Sydney - Northern Beaches,2025/06/01,25-34 years,Males,93.93816835
Sydney - Northern Beaches,2025/06/01,25-34 years,Females,91.09148023
Sydney - Northern Beaches,2025/06/01,35-44 years,Males,96.03300802
Sydney - Northern Beaches,2025/06/01,35-44 years,Females,88.14277161
Sydney - Northern Beaches,2025/06/01,45-54 years,Males,95.16670641
Sydney - Northern Beaches,2025/06/01,45-54 years,Females,86.86858747
Sydney - Northern Beaches,2025/06/01,55-64 years,Males,80.4093028
Sydney - Northern Beaches,2025/06/01,55-64 years,Females,73.81821143
Sydney - Northern Beaches,2025/06/01,65 years and over,Males,26.43101951
Sydney - Northern Beaches,2025/06/01,65 years and over,Females,18.74664522
Sydney - Northern Beaches,2025/05/01,15-24 years,Males,68.95649915
Sydney - Northern Beaches,2025/05/01,15-24 years,Females,75.28658356
Sydney - Northern Beaches,2025/05/01,25-34 years,Males,94.22446383
Sydney - Northern Beaches,2025/05/01,25-34 years,Females,91.23073513
Sydney - Northern Beaches,2025/05/01,35-44 years,Males,96.17766502
Sydney - Northern Beaches,2025/05/01,35-44 years,Females,88.37242957
Sydney - Northern Beaches,2025/05/01,45-54 years,Males,95.27891836
Sydney - Northern Beaches,2025/05/01,45-54 years,Females,86.95670792
