Date,Attribute,Value
1991/08/28,$50 notes,5340.92
1991/08/28,$100 notes,6421.37
1991/09/25,$5 notes,242.36
1991/09/25,$10 notes,615.05
1991/09/25,$20 notes,2009.27
1991/09/25,$50 notes,5412.38
1991/09/25,$100 notes,6437.74
1991/10/30,$5 notes,244.08
1991/10/30,$10 notes,611.98
1991/10/30,$20 notes,1975.25
1991/10/30,$50 notes,5437.00
1991/10/30,$100 notes,6462.48
1991/11/27,$5 notes,246.86
1991/11/27,$10 notes,584.98
1991/11/27,$20 notes,1992.57
1991/11/27,$50 notes,5513.51
1991/11/27,$100 notes,6508.15
1991/12/25,$5 notes,269.41
1991/12/25,$10 notes,600.50
1991/12/25,$20 notes,2243.72
1991/12/25,$50 notes,6139.54
1991/12/25,$100 notes,6816.80
1992/01/29,$5 notes,247.52
1992/01/29,$10 notes,545.52
1992/01/29,$20 notes,1981.88
1992/01/29,$50 notes,5647.78
1992/01/29,$100 notes,6574.43
1992/02/26,$5 notes,247.32
1992/02/26,$10 notes,542.36
1992/02/26,$20 notes,1931.50
1992/02/26,$50 notes,5582.90
1992/02/26,$100 notes,6566.61
1992/03/25,$5 notes,249.54
1992/03/25,$10 notes,546.29
1992/03/25,$20 notes,1932.29
1992/03/25,$50 notes,5620.91
1992/03/25,$100 notes,6589.34
1992/04/29,$5 notes,255.76
1992/04/29,$10 notes,557.23
1992/04/29,$20 notes,1941.45
1992/04/29,$50 notes,5782.40
1992/04/29,$100 notes,6628.98
1992/05/27,$5 notes,251.93
1992/05/27,$10 notes,547.87
1992/05/27,$20 notes,1881.42
1992/05/27,$50 notes,5710.88
1992/05/27,$100 notes,6625.92
1992/06/24,$5 notes,254.95
1992/06/24,$10 notes,549.81
1992/06/24,$20 notes,1878.00
1992/06/24,$50 notes,5787.95
1992/06/24,$100 notes,6671.78
1992/07/29,$5 notes,284.54
1992/07/29,$10 notes,547.46
1992/07/29,$20 notes,1867.16
1992/07/29,$50 notes,5855.85
1992/07/29,$100 notes,6744.36
1992/08/26,$5 notes,288.95
1992/08/26,$10 notes,547.89
1992/08/26,$20 notes,1863.08
1992/08/26,$50 notes,5883.68
1992/08/26,$100 notes,6792.83
1992/09/30,$5 notes,287.99
1992/09/30,$10 notes,552.24
1992/09/30,$20 notes,1882.81
1992/09/30,$50 notes,6007.91
1992/09/30,$100 notes,6876.27
1992/10/28,$5 notes,286.16
1992/10/28,$10 notes,550.14
1992/10/28,$20 notes,1857.77
1992/10/28,$50 notes,5990.12
1992/10/28,$100 notes,6921.30
1992/11/25,$5 notes,289.21
1992/11/25,$10 notes,556.11
1992/11/25,$20 notes,1872.30
1992/11/25,$50 notes,6061.09
1992/11/25,$100 notes,7003.26
1992/12/30,$5 notes,308.23
1992/12/30,$10 notes,596.74
1992/12/30,$20 notes,2050.68
1992/12/30,$50 notes,6658.38
1992/12/30,$100 notes,7291.62
1993/01/27,$5 notes,286.28
1993/01/27,$10 notes,547.67
1993/01/27,$20 notes,1850.02
1993/01/27,$50 notes,6168.20
1993/01/27,$100 notes,7102.16
1993/02/24,$5 notes,283.76
1993/02/24,$10 notes,542.92
1993/02/24,$20 notes,1822.90
1993/02/24,$50 notes,6094.32
1993/02/24,$100 notes,7091.68
1993/03/31,$5 notes,287.10
1993/03/31,$10 notes,548.11
1993/03/31,$20 notes,1826.47
1993/03/31,$50 notes,6142.96
1993/03/31,$100 notes,7120.43
1993/04/28,$5 notes,291.23
1993/04/28,$10 notes,554.49
1993/04/28,$20 notes,1855.84
1993/04/28,$50 notes,6274.37
1993/04/28,$100 notes,7159.06
1993/05/26,$5 notes,287.65
1993/05/26,$10 notes,548.61
1993/05/26,$20 notes,1817.37
1993/05/26,$50 notes,6190.39
1993/05/26,$100 notes,7178.86
1993/06/30,$5 notes,291.03
1993/06/30,$10 notes,552.58
1993/06/30,$20 notes,1837.51
1993/06/30,$50 notes,6313.89
1993/06/30,$100 notes,7269.51
1993/07/28,$5 notes,289.33
1993/07/28,$10 notes,548.98
1993/07/28,$20 notes,1814.43
1993/07/28,$50 notes,6320.39
1993/07/28,$100 notes,7309.00
1993/08/25,$5 notes,291.38
1993/08/25,$10 notes,550.88
1993/08/25,$20 notes,1815.16
1993/08/25,$50 notes,6350.87
1993/08/25,$100 notes,7337.29
1993/09/29,$5 notes,293.08
1993/09/29,$10 notes,556.78
1993/09/29,$20 notes,1834.42
1993/09/29,$50 notes,6480.40
1993/09/29,$100 notes,7426.86
1993/10/27,$5 notes,292.98
1993/10/27,$10 notes,555.06
1993/10/27,$20 notes,1811.58
1993/10/27,$50 notes,6462.40
1993/10/27,$100 notes,7476.03
1993/11/24,$5 notes,296.42
1993/11/24,$10 notes,605.89
1993/11/24,$20 notes,1825.27
1993/11/24,$50 notes,6530.51
1993/11/24,$100 notes,7560.45
1993/12/29,$5 notes,321.90
1993/12/29,$10 notes,669.08
1993/12/29,$20 notes,2055.08
1993/12/29,$50 notes,7282.14
1993/12/29,$100 notes,7865.39
1994/01/26,$5 notes,293.45
1994/01/26,$10 notes,591.03
1994/01/26,$20 notes,1791.54
1994/01/26,$50 notes,6586.04
1994/01/26,$100 notes,7621.74
1994/02/23,$5 notes,294.82
1994/02/23,$10 notes,591.14
1994/02/23,$20 notes,1786.87
1994/02/23,$50 notes,6571.12
1994/02/23,$100 notes,7654.22
1994/03/30,$5 notes,305.42
1994/03/30,$10 notes,607.81
1994/03/30,$20 notes,1869.86
1994/03/30,$50 notes,6824.36
1994/03/30,$100 notes,7759.94
1994/04/27,$5 notes,302.52
1994/04/27,$10 notes,601.30
1994/04/27,$20 notes,1825.78
1994/04/27,$50 notes,6777.77
1994/04/27,$100 notes,7761.77
1994/05/25,$5 notes,301.59
1994/05/25,$10 notes,590.41
1994/05/25,$20 notes,1776.30
1994/05/25,$50 notes,6660.32
1994/05/25,$100 notes,7784.17
1994/06/29,$5 notes,304.88
1994/06/29,$10 notes,591.94
1994/06/29,$20 notes,1792.20
1994/06/29,$50 notes,6777.12
1994/06/29,$100 notes,7882.33
1994/07/27,$5 notes,304.10
1994/07/27,$10 notes,591.46
1994/07/27,$20 notes,1790.14
1994/07/27,$50 notes,6830.58
1994/07/27,$100 notes,7967.85
1994/08/31,$5 notes,306.78
1994/08/31,$10 notes,594.56
1994/08/31,$20 notes,1790.60
1994/08/31,$50 notes,6833.62
1994/08/31,$100 notes,8021.14
1994/09/28,$5 notes,307.87
1994/09/28,$10 notes,596.90
1994/09/28,$20 notes,1803.79
1994/09/28,$50 notes,6925.70
1994/09/28,$100 notes,8079.11
1994/10/26,$5 notes,308.66
1994/10/26,$10 notes,596.60
1994/10/26,$20 notes,1794.50
1994/10/26,$50 notes,6947.23
1994/10/26,$100 notes,8136.95
1994/11/30,$5 notes,313.31
1994/11/30,$10 notes,603.94
1994/11/30,$20 notes,1891.35
1994/11/30,$50 notes,7061.06
1994/11/30,$100 notes,8234.04
1994/12/28,$5 notes,340.73
1994/12/28,$10 notes,658.63
1994/12/28,$20 notes,2122.65
1994/12/28,$50 notes,7827.24
1994/12/28,$100 notes,8524.62
1995/01/25,$5 notes,310.75
1995/01/25,$10 notes,593.56
1995/01/25,$20 notes,1845.40
1995/01/25,$50 notes,7118.93
1995/01/25,$100 notes,8296.57
1995/02/22,$5 notes,310.49
1995/02/22,$10 notes,591.91
1995/02/22,$20 notes,1819.05
1995/02/22,$50 notes,6996.35
1995/02/22,$100 notes,8293.55
1995/03/29,$5 notes,313.17
1995/03/29,$10 notes,586.91
1995/03/29,$20 notes,1841.37
1995/03/29,$50 notes,7043.39
1995/03/29,$100 notes,8348.73
1995/04/26,$5 notes,324.75
1995/04/26,$10 notes,587.14
1995/04/26,$20 notes,1949.19
1995/04/26,$50 notes,7310.15
1995/04/26,$100 notes,8422.75
1995/05/31,$5 notes,321.16
1995/05/31,$10 notes,565.27
1995/05/31,$20 notes,1848.77
1995/05/31,$50 notes,7083.66
1995/05/31,$100 notes,8425.59
1995/06/28,$5 notes,324.83
1995/06/28,$10 notes,567.69
1995/06/28,$20 notes,1852.54
1995/06/28,$50 notes,7146.53
1995/06/28,$100 notes,8481.53
1995/07/26,$5 notes,323.83
1995/07/26,$10 notes,573.99
1995/07/26,$20 notes,1836.13
1995/07/26,$50 notes,7173.39
1995/07/26,$100 notes,8532.83
1995/08/30,$5 notes,327.14
1995/08/30,$10 notes,577.38
1995/08/30,$20 notes,1842.45
1995/08/30,$50 notes,7190.72
1995/08/30,$100 notes,8524.66
1995/09/27,$5 notes,327.47
1995/09/27,$10 notes,579.99
1995/09/27,$20 notes,1846.66
1995/09/27,$50 notes,7270.83
1995/09/27,$100 notes,8565.59
1995/10/25,$5 notes,327.71
1995/10/25,$10 notes,581.38
1995/10/25,$20 notes,1841.34
1995/10/25,$50 notes,7315.33
1995/10/25,$100 notes,8609.55
1995/11/29,$5 notes,332.08
1995/11/29,$10 notes,589.67
1995/11/29,$20 notes,1872.89
1995/11/29,$50 notes,7414.04
1995/11/29,$100 notes,8690.02
1995/12/27,$5 notes,359.25
1995/12/27,$10 notes,630.76
1995/12/27,$20 notes,2136.25
1995/12/27,$50 notes,8297.95
1995/12/27,$100 notes,8957.84
1996/01/31,$5 notes,325.95
1996/01/31,$10 notes,576.31
1996/01/31,$20 notes,1862.04
1996/01/31,$50 notes,7506.34
1996/01/31,$100 notes,8675.69
1996/02/28,$5 notes,330.33
1996/02/28,$10 notes,582.70
1996/02/28,$20 notes,1857.79
1996/02/28,$50 notes,7506.94
1996/02/28,$100 notes,8654.35
1996/03/27,$5 notes,332.68
1996/03/27,$10 notes,583.80
1996/03/27,$20 notes,1860.61
1996/03/27,$50 notes,7589.16
1996/03/27,$100 notes,8611.60
1996/04/24,$5 notes,335.02
1996/04/24,$10 notes,584.05
1996/04/24,$20 notes,1887.01
1996/04/24,$50 notes,7763.96
1996/04/24,$100 notes,8575.44
1996/05/29,$5 notes,332.68
1996/05/29,$10 notes,580.00
1996/05/29,$20 notes,1843.24
1996/05/29,$50 notes,7684.50
1996/05/29,$100 notes,8458.36
1996/06/26,$5 notes,334.41
1996/06/26,$10 notes,581.98
1996/06/26,$20 notes,1850.25
1996/06/26,$50 notes,7852.39
1996/06/26,$100 notes,8406.41
1996/07/31,$5 notes,334.61
1996/07/31,$10 notes,583.78
1996/07/31,$20 notes,1845.56
1996/07/31,$50 notes,7986.11
1996/07/31,$100 notes,8283.17
1996/08/28,$5 notes,336.30
1996/08/28,$10 notes,586.22
1996/08/28,$20 notes,1853.59
1996/08/28,$50 notes,8122.19
1996/08/28,$100 notes,8187.82
1996/09/25,$5 notes,337.21
1996/09/25,$10 notes,588.86
1996/09/25,$20 notes,1856.63
1996/09/25,$50 notes,8274.31
1996/09/25,$100 notes,8114.94
1996/10/30,$5 notes,338.26
1996/10/30,$10 notes,590.02
1996/10/30,$20 notes,1854.98
1996/10/30,$50 notes,8414.47
1996/10/30,$100 notes,8077.43
1996/11/27,$5 notes,342.73
1996/11/27,$10 notes,598.28
1996/11/27,$20 notes,1873.47
1996/11/27,$50 notes,8562.72
1996/11/27,$100 notes,8066.30
1996/12/25,$5 notes,366.81
1996/12/25,$10 notes,636.66
1996/12/25,$20 notes,2073.89
1996/12/25,$50 notes,9428.88
1996/12/25,$100 notes,8338.51
1997/01/29,$5 notes,340.62
1997/01/29,$10 notes,592.79
1997/01/29,$20 notes,1861.29
1997/01/29,$50 notes,8816.49
1997/01/29,$100 notes,8082.64
1997/02/26,$5 notes,341.96
1997/02/26,$10 notes,594.02
1997/02/26,$20 notes,1839.29
1997/02/26,$50 notes,8724.62
1997/02/26,$100 notes,8087.69
1997/03/26,$5 notes,349.93
1997/03/26,$10 notes,605.10
1997/03/26,$20 notes,1904.52
1997/03/26,$50 notes,9023.89
1997/03/26,$100 notes,8144.78
1997/04/30,$5 notes,346.34
1997/04/30,$10 notes,596.91
1997/04/30,$20 notes,1857.83
1997/04/30,$50 notes,8935.13
1997/04/30,$100 notes,8147.78
1997/05/28,$5 notes,345.29
1997/05/28,$10 notes,596.18
1997/05/28,$20 notes,1826.01
1997/05/28,$50 notes,8862.73
1997/05/28,$100 notes,8187.55
1997/06/25,$5 notes,347.85
1997/06/25,$10 notes,599.22
1997/06/25,$20 notes,1832.22
1997/06/25,$50 notes,8944.60
1997/06/25,$100 notes,8295.46
1997/07/30,$5 notes,347.92
1997/07/30,$10 notes,602.71
1997/07/30,$20 notes,1834.00
1997/07/30,$50 notes,9026.25
1997/07/30,$100 notes,8419.72
1997/08/27,$5 notes,349.32
1997/08/27,$10 notes,606.19
1997/08/27,$20 notes,1836.77
1997/08/27,$50 notes,9041.78
1997/08/27,$100 notes,8460.19
1997/09/24,$5 notes,350.76
1997/09/24,$10 notes,607.21
1997/09/24,$20 notes,1836.50
1997/09/24,$50 notes,9129.34
1997/09/24,$100 notes,8537.14
1997/10/29,$5 notes,351.78
1997/10/29,$10 notes,610.58
1997/10/29,$20 notes,1830.02
