Date,Attribute,Value
2002/03/27,$20 notes,3064.85
2002/03/27,$50 notes,15958.43
2002/03/27,$100 notes,13227.79
2002/04/24,$5 notes,537.44
2002/04/24,$10 notes,792.67
2002/04/24,$20 notes,2961.03
2002/04/24,$50 notes,14898.38
2002/04/24,$100 notes,13087.73
2002/05/29,$5 notes,533.44
2002/05/29,$10 notes,814.67
2002/05/29,$20 notes,2869.02
2002/05/29,$50 notes,14738.31
2002/05/29,$100 notes,13047.68
2002/06/26,$5 notes,530.41
2002/06/26,$10 notes,802.61
2002/06/26,$20 notes,2800.92
2002/06/26,$50 notes,14717.68
2002/06/26,$100 notes,13057.28
2002/07/31,$5 notes,523.50
2002/07/31,$10 notes,772.68
2002/07/31,$20 notes,2725.00
2002/07/31,$50 notes,14517.78
2002/07/31,$100 notes,13157.45
2002/08/28,$5 notes,518.49
2002/08/28,$10 notes,772.44
2002/08/28,$20 notes,2560.93
2002/08/28,$50 notes,14417.64
2002/08/28,$100 notes,13185.22
2002/09/25,$5 notes,520.53
2002/09/25,$10 notes,762.50
2002/09/25,$20 notes,2560.99
2002/09/25,$50 notes,14317.73
2002/09/25,$100 notes,13175.52
2002/10/30,$5 notes,514.53
2002/10/30,$10 notes,766.51
2002/10/30,$20 notes,2565.02
2002/10/30,$50 notes,14747.68
2002/10/30,$100 notes,13185.51
2002/11/27,$5 notes,518.42
2002/11/27,$10 notes,788.54
2002/11/27,$20 notes,2725.08
2002/11/27,$50 notes,15397.61
2002/11/27,$100 notes,13285.24
2002/12/25,$5 notes,538.46
2002/12/25,$10 notes,832.65
2002/12/25,$20 notes,2917.19
2002/12/25,$50 notes,16738.22
2002/12/25,$100 notes,13565.57
2003/01/29,$5 notes,532.45
2003/01/29,$10 notes,818.64
2003/01/29,$20 notes,2821.13
2003/01/29,$50 notes,15488.06
2003/01/29,$100 notes,13535.53
2003/02/26,$5 notes,524.54
2003/02/26,$10 notes,804.64
2003/02/26,$20 notes,2604.93
2003/02/26,$50 notes,14867.96
2003/02/26,$100 notes,13455.58
2003/03/26,$5 notes,519.53
2003/03/26,$10 notes,786.67
2003/03/26,$20 notes,2560.95
2003/03/26,$50 notes,14847.88
2003/03/26,$100 notes,13455.60
2003/04/30,$5 notes,522.58
2003/04/30,$10 notes,784.70
2003/04/30,$20 notes,2732.96
2003/04/30,$50 notes,15867.71
2003/04/30,$100 notes,13495.27
2003/05/28,$5 notes,516.60
2003/05/28,$10 notes,774.71
2003/05/28,$20 notes,2539.97
2003/05/28,$50 notes,14887.71
2003/05/28,$100 notes,13395.35
2003/06/25,$5 notes,515.77
2003/06/25,$10 notes,762.75
2003/06/25,$20 notes,2514.03
2003/06/25,$50 notes,14917.84
2003/06/25,$100 notes,13405.67
2003/07/30,$5 notes,513.76
2003/07/30,$10 notes,760.83
2003/07/30,$20 notes,2518.01
2003/07/30,$50 notes,14927.81
2003/07/30,$100 notes,13595.58
2003/08/27,$5 notes,508.77
2003/08/27,$10 notes,750.91
2003/08/27,$20 notes,2490.01
2003/08/27,$50 notes,14997.75
2003/08/27,$100 notes,13615.55
2003/09/24,$5 notes,513.77
2003/09/24,$10 notes,764.87
2003/09/24,$20 notes,2529.99
2003/09/24,$50 notes,15107.69
2003/09/24,$100 notes,13665.52
2003/10/29,$5 notes,516.87
2003/10/29,$10 notes,772.88
2003/10/29,$20 notes,2590.03
2003/10/29,$50 notes,15477.60
2003/10/29,$100 notes,13745.44
2003/11/26,$5 notes,524.88
2003/11/26,$10 notes,786.88
2003/11/26,$20 notes,2626.02
2003/11/26,$50 notes,15687.59
2003/11/26,$100 notes,13805.46
2003/12/31,$5 notes,549.71
2003/12/31,$10 notes,826.84
2003/12/31,$20 notes,2937.01
2003/12/31,$50 notes,17301.20
2003/12/31,$100 notes,14174.89
2004/01/28,$5 notes,544.72
2004/01/28,$10 notes,812.85
2004/01/28,$20 notes,2716.99
2004/01/28,$50 notes,15931.14
2004/01/28,$100 notes,13974.85
2004/02/25,$5 notes,542.72
2004/02/25,$10 notes,812.85
2004/02/25,$20 notes,2552.94
2004/02/25,$50 notes,15540.95
2004/02/25,$100 notes,13944.66
2004/03/31,$5 notes,538.72
2004/03/31,$10 notes,802.85
2004/03/31,$20 notes,2652.91
2004/03/31,$50 notes,16290.91
2004/03/31,$100 notes,13984.60
2004/04/28,$5 notes,528.73
2004/04/28,$10 notes,790.86
2004/04/28,$20 notes,2640.90
2004/04/28,$50 notes,16080.86
2004/04/28,$100 notes,13984.59
2004/05/26,$5 notes,523.75
2004/05/26,$10 notes,794.90
2004/05/26,$20 notes,2556.98
2004/05/26,$50 notes,15690.83
2004/05/26,$100 notes,14024.74
2004/06/30,$5 notes,532.73
2004/06/30,$10 notes,790.89
2004/06/30,$20 notes,2532.98
2004/06/30,$50 notes,15940.77
2004/06/30,$100 notes,14224.69
2004/07/28,$5 notes,530.74
2004/07/28,$10 notes,798.89
2004/07/28,$20 notes,2541.00
2004/07/28,$50 notes,16320.77
2004/07/28,$100 notes,14364.58
2004/08/25,$5 notes,542.73
2004/08/25,$10 notes,800.88
2004/08/25,$20 notes,2540.98
2004/08/25,$50 notes,16080.70
2004/08/25,$100 notes,14404.48
2004/09/29,$5 notes,536.73
2004/09/29,$10 notes,800.87
2004/09/29,$20 notes,2752.97
2004/09/29,$50 notes,16410.59
2004/09/29,$100 notes,14504.40
2004/10/27,$5 notes,548.74
2004/10/27,$10 notes,822.88
2004/10/27,$20 notes,2600.99
2004/10/27,$50 notes,16570.62
2004/10/27,$100 notes,14604.56
2004/11/24,$5 notes,597.72
2004/11/24,$10 notes,840.84
2004/11/24,$20 notes,2584.79
2004/11/24,$50 notes,16620.38
2004/11/24,$100 notes,14674.21
2004/12/29,$5 notes,577.71
2004/12/29,$10 notes,876.83
2004/12/29,$20 notes,2920.76
2004/12/29,$50 notes,18370.29
2004/12/29,$100 notes,15074.13
2005/01/26,$5 notes,565.70
2005/01/26,$10 notes,866.82
2005/01/26,$20 notes,2796.74
2005/01/26,$50 notes,17220.24
2005/01/26,$100 notes,14894.10
2005/02/23,$5 notes,543.70
2005/02/23,$10 notes,922.81
2005/02/23,$20 notes,2668.72
2005/02/23,$50 notes,16680.13
2005/02/23,$100 notes,14824.05
2005/03/30,$5 notes,540.69
2005/03/30,$10 notes,840.80
2005/03/30,$20 notes,2736.70
2005/03/30,$50 notes,17200.04
2005/03/30,$100 notes,14863.99
2005/04/27,$5 notes,543.69
2005/04/27,$10 notes,834.78
2005/04/27,$20 notes,2620.65
2005/04/27,$50 notes,16640.13
2005/04/27,$100 notes,14773.91
2005/05/25,$5 notes,536.68
2005/05/25,$10 notes,830.76
2005/05/25,$20 notes,2596.63
2005/05/25,$50 notes,16769.99
2005/05/25,$100 notes,14843.87
2005/06/29,$5 notes,538.67
2005/06/29,$10 notes,858.74
2005/06/29,$20 notes,2584.60
2005/06/29,$50 notes,16739.80
2005/06/29,$100 notes,14923.76
2005/07/27,$5 notes,545.50
2005/07/27,$10 notes,845.81
2005/07/27,$20 notes,2613.22
2005/07/27,$50 notes,16785.95
2005/07/27,$100 notes,15123.94
2005/08/31,$5 notes,557.33
2005/08/31,$10 notes,848.16
2005/08/31,$20 notes,2617.50
2005/08/31,$50 notes,17079.64
2005/08/31,$100 notes,15163.88
2005/09/28,$5 notes,550.83
2005/09/28,$10 notes,847.95
2005/09/28,$20 notes,2652.68
2005/09/28,$50 notes,17300.55
2005/09/28,$100 notes,15217.84
2005/10/26,$5 notes,577.02
2005/10/26,$10 notes,881.54
2005/10/26,$20 notes,2654.77
2005/10/26,$50 notes,17519.47
2005/10/26,$100 notes,15461.78
2005/11/30,$5 notes,557.31
2005/11/30,$10 notes,856.54
2005/11/30,$20 notes,2774.71
2005/11/30,$50 notes,18014.22
2005/11/30,$100 notes,15505.65
2005/12/28,$5 notes,584.31
2005/12/28,$10 notes,892.54
2005/12/28,$20 notes,3035.91
2005/12/28,$50 notes,19323.20
2005/12/28,$100 notes,15841.59
2006/01/25,$5 notes,579.76
2006/01/25,$10 notes,887.13
2006/01/25,$20 notes,2869.88
2006/01/25,$50 notes,18180.12
2006/01/25,$100 notes,15801.51
2006/02/22,$5 notes,580.13
2006/02/22,$10 notes,917.06
2006/02/22,$20 notes,2752.66
2006/02/22,$50 notes,18063.03
2006/02/22,$100 notes,15923.49
2006/03/29,$5 notes,573.07
2006/03/29,$10 notes,879.32
2006/03/29,$20 notes,2746.81
2006/03/29,$50 notes,18228.36
2006/03/29,$100 notes,15804.06
2006/04/26,$5 notes,577.94
2006/04/26,$10 notes,873.89
2006/04/26,$20 notes,2775.05
2006/04/26,$50 notes,18469.73
2006/04/26,$100 notes,15843.95
2006/05/31,$5 notes,570.32
2006/05/31,$10 notes,861.62
2006/05/31,$20 notes,2777.92
2006/05/31,$50 notes,17917.36
2006/05/31,$100 notes,15833.66
2006/06/28,$5 notes,571.44
2006/06/28,$10 notes,859.53
2006/06/28,$20 notes,2674.35
2006/06/28,$50 notes,18019.07
2006/06/28,$100 notes,15893.32
2006/07/26,$5 notes,566.73
2006/07/26,$10 notes,854.93
2006/07/26,$20 notes,2746.09
2006/07/26,$50 notes,18170.85
2006/07/26,$100 notes,16012.83
2006/08/30,$5 notes,572.62
2006/08/30,$10 notes,870.37
2006/08/30,$20 notes,2733.67
2006/08/30,$50 notes,18311.85
2006/08/30,$100 notes,16086.49
2006/09/27,$5 notes,579.01
2006/09/27,$10 notes,871.78
2006/09/27,$20 notes,2697.52
2006/09/27,$50 notes,18543.42
2006/09/27,$100 notes,16175.99
2006/10/25,$5 notes,576.86
2006/10/25,$10 notes,875.56
2006/10/25,$20 notes,2751.71
2006/10/25,$50 notes,18727.28
2006/10/25,$100 notes,16265.32
2006/11/29,$5 notes,591.69
2006/11/29,$10 notes,907.26
2006/11/29,$20 notes,2858.20
2006/11/29,$50 notes,19203.79
2006/11/29,$100 notes,16474.81
2006/12/27,$5 notes,610.90
2006/12/27,$10 notes,926.96
2006/12/27,$20 notes,3118.93
2006/12/27,$50 notes,20589.51
2006/12/27,$100 notes,16734.18
2007/01/31,$5 notes,597.73
2007/01/31,$10 notes,899.70
2007/01/31,$20 notes,2869.48
2007/01/31,$50 notes,19180.84
2007/01/31,$100 notes,16603.54
2007/02/28,$5 notes,586.56
2007/02/28,$10 notes,889.41
2007/02/28,$20 notes,2800.09
2007/02/28,$50 notes,19026.93
2007/02/28,$100 notes,16632.93
2007/03/28,$5 notes,595.82
2007/03/28,$10 notes,905.00
2007/03/28,$20 notes,2856.59
2007/03/28,$50 notes,19522.49
2007/03/28,$100 notes,16751.86
2007/04/25,$5 notes,596.64
2007/04/25,$10 notes,904.29
2007/04/25,$20 notes,2831.38
2007/04/25,$50 notes,19510.79
2007/04/25,$100 notes,16691.19
2007/05/30,$5 notes,580.45
2007/05/30,$10 notes,880.03
2007/05/30,$20 notes,2840.08
2007/05/30,$50 notes,18991.98
2007/05/30,$100 notes,16590.36
2007/06/27,$5 notes,590.77
2007/06/27,$10 notes,895.91
2007/06/27,$20 notes,2833.53
2007/06/27,$50 notes,19228.40
2007/06/27,$100 notes,16719.94
2007/07/25,$5 notes,590.62
2007/07/25,$10 notes,893.65
2007/07/25,$20 notes,2792.53
2007/07/25,$50 notes,19404.57
2007/07/25,$100 notes,16889.30
2007/08/29,$5 notes,603.46
2007/08/29,$10 notes,907.41
2007/08/29,$20 notes,2775.47
2007/08/29,$50 notes,19802.10
2007/08/29,$100 notes,17038.53
2007/09/26,$5 notes,602.25
2007/09/26,$10 notes,907.09
2007/09/26,$20 notes,2810.36
2007/09/26,$50 notes,19988.24
2007/09/26,$100 notes,17138.04
2007/10/31,$5 notes,599.64
2007/10/31,$10 notes,909.59
2007/10/31,$20 notes,2804.94
2007/10/31,$50 notes,20041.84
2007/10/31,$100 notes,17215.65
2007/11/28,$5 notes,616.65
2007/11/28,$10 notes,933.58
2007/11/28,$20 notes,2865.42
2007/11/28,$50 notes,20563.46
2007/11/28,$100 notes,17355.44
2007/12/26,$5 notes,638.57
2007/12/26,$10 notes,960.95
2007/12/26,$20 notes,3161.51
2007/12/26,$50 notes,22366.54
2007/12/26,$100 notes,17811.27
2008/01/30,$5 notes,627.55
2008/01/30,$10 notes,940.93
2008/01/30,$20 notes,2937.41
2008/01/30,$50 notes,20706.34
2008/01/30,$100 notes,17681.27
2008/02/27,$5 notes,617.51
2008/02/27,$10 notes,926.86
2008/02/27,$20 notes,2841.15
2008/02/27,$50 notes,20244.66
2008/02/27,$100 notes,17691.04
2008/03/26,$5 notes,612.54
2008/03/26,$10 notes,920.85
2008/03/26,$20 notes,2868.99
2008/03/26,$50 notes,20724.06
2008/03/26,$100 notes,17650.89
2008/04/30,$5 notes,610.49
2008/04/30,$10 notes,920.77
2008/04/30,$20 notes,2792.74
2008/04/30,$50 notes,20363.32
2008/04/30,$100 notes,17600.59
2008/05/28,$5 notes,612.43
2008/05/28,$10 notes,916.69
2008/05/28,$20 notes,2764.51
2008/05/28,$50 notes,20252.30
2008/05/28,$100 notes,17560.37
2008/06/25,$5 notes,615.36
2008/06/25,$10 notes,918.57
2008/06/25,$20 notes,2740.18
2008/06/25,$50 notes,20140.87
2008/06/25,$100 notes,17700.04
2008/07/31,$5 notes,620.35
2008/07/31,$10 notes,922.55
2008/07/31,$20 notes,2727.79
2008/07/31,$50 notes,20488.10
2008/07/31,$100 notes,17929.81
2008/08/31,$5 notes,627.12
2008/08/31,$10 notes,928.30
2008/08/31,$20 notes,2746.91
2008/08/31,$50 notes,20856.09
2008/08/31,$100 notes,18059.68
2008/09/30,$5 notes,629.01
2008/09/30,$10 notes,938.15
2008/09/30,$20 notes,2738.40
2008/09/30,$50 notes,21223.92
2008/09/30,$100 notes,18219.31
2008/10/31,$5 notes,652.94
2008/10/31,$10 notes,972.05
2008/10/31,$20 notes,2934.04
2008/10/31,$50 notes,23261.93
2008/10/31,$100 notes,18858.85
2008/11/30,$5 notes,653.86
2008/11/30,$10 notes,975.92
2008/11/30,$20 notes,3201.51
2008/11/30,$50 notes,25758.76
2008/11/30,$100 notes,19098.28
2008/12/31,$5 notes,674.76
2008/12/31,$10 notes,1007.77
2008/12/31,$20 notes,3388.96
2008/12/31,$50 notes,27099.79
2008/12/31,$100 notes,19538.17
2009/01/31,$5 notes,665.72
2009/01/31,$10 notes,995.70
2009/01/31,$20 notes,3076.75
2009/01/31,$50 notes,24868.41
2009/01/31,$100 notes,19527.98
2009/02/28,$5 notes,656.67
2009/02/28,$10 notes,981.64
2009/02/28,$20 notes,2968.50
2009/02/28,$50 notes,24687.04
2009/02/28,$100 notes,19627.71
2009/03/31,$5 notes,657.59
2009/03/31,$10 notes,975.50
2009/03/31,$20 notes,2928.13
2009/03/31,$50 notes,24645.32
2009/03/31,$100 notes,19897.27
2009/04/30,$5 notes,657.54
2009/04/30,$10 notes,977.43
2009/04/30,$20 notes,2843.89
2009/04/30,$50 notes,24283.92
2009/04/30,$100 notes,19937.43
2009/05/31,$5 notes,648.49
2009/05/31,$10 notes,963.33
2009/05/31,$20 notes,2671.63
2009/05/31,$50 notes,23632.56
2009/05/31,$100 notes,19937.13
2009/06/30,$5 notes,643.89
2009/06/30,$10 notes,954.46
2009/06/30,$20 notes,2651.35
2009/06/30,$50 notes,23721.02
2009/06/30,$100 notes,20116.68
2009/07/31,$5 notes,650.83
2009/07/31,$10 notes,952.37
2009/07/31,$20 notes,2627.08
2009/07/31,$50 notes,23628.87
2009/07/31,$100 notes,20326.29
2009/08/31,$5 notes,655.70
2009/08/31,$10 notes,967.71
2009/08/31,$20 notes,2686.05
2009/08/31,$50 notes,23796.78
2009/08/31,$100 notes,20335.86
2009/09/30,$5 notes,656.64
2009/09/30,$10 notes,999.66
2009/09/30,$20 notes,2693.72
2009/09/30,$50 notes,23915.65
2009/09/30,$100 notes,20375.56
2009/10/31,$5 notes,665.58
2009/10/31,$10 notes,1023.59
2009/10/31,$20 notes,2709.55
2009/10/31,$50 notes,24154.52
2009/10/31,$100 notes,20415.18
2009/11/30,$5 notes,668.47
2009/11/30,$10 notes,999.45
2009/11/30,$20 notes,2761.01
2009/11/30,$50 notes,24361.94
2009/11/30,$100 notes,20494.45
2009/12/31,$5 notes,693.35
2009/12/31,$10 notes,1015.27
2009/12/31,$20 notes,2964.61
2009/12/31,$50 notes,26089.64
2009/12/31,$100 notes,20823.51
2010/01/31,$5 notes,683.29
2010/01/31,$10 notes,1013.17
2010/01/31,$20 notes,2792.38
2010/01/31,$50 notes,23968.58
2010/01/31,$100 notes,20582.99
2010/02/28,$5 notes,673.23
2010/02/28,$10 notes,976.25
2010/02/28,$20 notes,2668.13
2010/02/28,$50 notes,23587.07
2010/02/28,$100 notes,20622.38
2010/03/31,$5 notes,684.13
2010/03/31,$10 notes,992.10
2010/03/31,$20 notes,2811.67
2010/03/31,$50 notes,24594.78
2010/03/31,$100 notes,20701.64
2010/04/30,$5 notes,677.06
2010/04/30,$10 notes,982.97
2010/04/30,$20 notes,2729.28
2010/04/30,$50 notes,23792.93
2010/04/30,$100 notes,20470.82
2010/05/31,$5 notes,671.00
2010/05/31,$10 notes,1018.88
2010/05/31,$20 notes,2669.08
2010/05/31,$50 notes,23561.70
2010/05/31,$100 notes,20620.31
2010/06/30,$5 notes,672.93
2010/06/30,$10 notes,982.79
2010/06/30,$20 notes,2652.89
2010/06/30,$50 notes,23710.70
2010/06/30,$100 notes,20739.90
2010/07/31,$5 notes,678.93
2010/07/31,$10 notes,990.63
2010/07/31,$20 notes,2676.41
2010/07/31,$50 notes,23887.59
2010/07/31,$100 notes,20958.94
2010/08/31,$5 notes,675.89
2010/08/31,$10 notes,994.56
2010/08/31,$20 notes,2700.16
2010/08/31,$50 notes,24056.56
2010/08/31,$100 notes,20958.55
2010/09/30,$5 notes,684.81
2010/09/30,$10 notes,1004.48
2010/09/30,$20 notes,2747.94
2010/09/30,$50 notes,24415.33
2010/09/30,$100 notes,21028.04
2010/10/31,$5 notes,682.75
2010/10/31,$10 notes,1004.38
2010/10/31,$20 notes,2735.71
2010/10/31,$50 notes,24334.05
2010/10/31,$100 notes,21027.48
2010/11/30,$5 notes,698.06
2010/11/30,$10 notes,1020.24
2010/11/30,$20 notes,2799.27
2010/11/30,$50 notes,24506.88
2010/11/30,$100 notes,21006.98
2010/12/31,$5 notes,734.00
2010/12/31,$10 notes,1058.15
2010/12/31,$20 notes,3087.08
2010/12/31,$50 notes,26766.07
2010/12/31,$100 notes,21436.59
2011/01/31,$5 notes,713.57
2011/01/31,$10 notes,1032.92
2011/01/31,$20 notes,2854.97
2011/01/31,$50 notes,24485.29
2011/01/31,$100 notes,21156.41
2011/02/28,$5 notes,701.51
2011/02/28,$10 notes,1014.81
2011/02/28,$20 notes,2778.57
2011/02/28,$50 notes,24103.60
2011/02/28,$100 notes,21156.05
2011/03/31,$5 notes,751.35
2011/03/31,$10 notes,1010.59
2011/03/31,$20 notes,2777.33
2011/03/31,$50 notes,24081.93
2011/03/31,$100 notes,21135.46
2011/04/30,$5 notes,709.26
2011/04/30,$10 notes,1028.49
2011/04/30,$20 notes,2992.91
2011/04/30,$50 notes,25779.92
2011/04/30,$100 notes,21314.86
2011/05/31,$5 notes,704.19
2011/05/31,$10 notes,1016.36
2011/05/31,$20 notes,2808.74
2011/05/31,$50 notes,24088.79
2011/05/31,$100 notes,21174.51
2011/06/30,$5 notes,731.21
2011/06/30,$10 notes,1010.25
2011/06/30,$20 notes,2796.47
2011/06/30,$50 notes,24287.43
2011/06/30,$100 notes,21233.99
2011/07/31,$5 notes,699.13
2011/07/31,$10 notes,1016.15
2011/07/31,$20 notes,2784.28
2011/07/31,$50 notes,24375.17
2011/07/31,$100 notes,21453.68
2011/08/31,$5 notes,706.17
2011/08/31,$10 notes,1030.05
2011/08/31,$20 notes,2855.95
2011/08/31,$50 notes,24812.82
2011/08/31,$100 notes,21693.15
2011/09/30,$5 notes,716.11
2011/09/30,$10 notes,1041.97
2011/09/30,$20 notes,2879.77
2011/09/30,$50 notes,25101.93
2011/09/30,$100 notes,21942.94
2011/10/31,$5 notes,728.01
2011/10/31,$10 notes,1053.85
2011/10/31,$20 notes,2903.51
2011/10/31,$50 notes,25330.40
2011/10/31,$100 notes,22162.25
2011/11/30,$5 notes,735.95
2011/11/30,$10 notes,1065.74
2011/11/30,$20 notes,2947.21
2011/11/30,$50 notes,25438.04
2011/11/30,$100 notes,22321.87
2011/12/31,$5 notes,757.88
2011/12/31,$10 notes,1099.66
2011/12/31,$20 notes,3270.98
2011/12/31,$50 notes,27786.49
2011/12/31,$100 notes,22901.51
2012/01/31,$5 notes,747.83
2012/01/31,$10 notes,1079.60
2012/01/31,$20 notes,3058.85
2012/01/31,$50 notes,25785.99
2012/01/31,$100 notes,22711.34
2012/02/29,$5 notes,731.75
2012/02/29,$10 notes,1055.44
2012/02/29,$20 notes,2922.50
2012/02/29,$50 notes,25123.86
2012/02/29,$100 notes,22530.72
2012/03/31,$5 notes,740.65
2012/03/31,$10 notes,1069.32
2012/03/31,$20 notes,3021.93
2012/03/31,$50 notes,25719.90
2012/03/31,$100 notes,22709.83
2012/04/30,$5 notes,739.61
2012/04/30,$10 notes,1067.25
2012/04/30,$20 notes,3053.78
2012/04/30,$50 notes,25738.59
2012/04/30,$100 notes,22769.52
2012/05/31,$5 notes,731.57
2012/05/31,$10 notes,1055.18
2012/05/31,$20 notes,2961.56
2012/05/31,$50 notes,25397.91
2012/05/31,$100 notes,22929.42
2012/06/30,$5 notes,737.09
2012/06/30,$10 notes,1059.45
2012/06/30,$20 notes,2979.93
2012/06/30,$50 notes,25662.75
2012/06/30,$100 notes,23155.74
2012/07/31,$5 notes,735.56
2012/07/31,$10 notes,1061.36
2012/07/31,$20 notes,2969.46
2012/07/31,$50 notes,25730.23
2012/07/31,$100 notes,23295.35
2012/08/31,$5 notes,744.52
2012/08/31,$10 notes,1071.32
2012/08/31,$20 notes,3005.29
2012/08/31,$50 notes,26059.08
2012/08/31,$100 notes,23455.18
2012/09/30,$5 notes,753.47
2012/09/30,$10 notes,1079.23
2012/09/30,$20 notes,3049.07
2012/09/30,$50 notes,26537.77
2012/09/30,$100 notes,23644.87
2012/10/31,$5 notes,752.41
2012/10/31,$10 notes,1081.18
2012/10/31,$20 notes,3056.78
2012/10/31,$50 notes,26555.00
2012/10/31,$100 notes,23904.37
2012/11/30,$5 notes,768.31
2012/11/30,$10 notes,1095.05
2012/11/30,$20 notes,3172.28
2012/11/30,$50 notes,27231.77
2012/11/30,$100 notes,24273.61
2012/12/31,$5 notes,801.25
2012/12/31,$10 notes,1132.96
2012/12/31,$20 notes,3464.04
2012/12/31,$50 notes,29000.32
2012/12/31,$100 notes,24583.12
2013/01/31,$5 notes,789.20
2013/01/31,$10 notes,1114.90
2013/01/31,$20 notes,3219.31
2013/01/31,$50 notes,27029.19
2013/01/31,$100 notes,24432.86
2013/02/28,$5 notes,779.14
2013/02/28,$10 notes,1100.81
2013/02/28,$20 notes,3130.83
2013/02/28,$50 notes,26617.83
2013/02/28,$100 notes,24531.93
2013/03/31,$5 notes,779.04
2013/03/31,$10 notes,1106.66
2013/03/31,$20 notes,3214.15
2013/03/31,$50 notes,27574.22
2013/03/31,$100 notes,24601.15
2013/04/30,$5 notes,768.99
2013/04/30,$10 notes,1096.58
2013/04/30,$20 notes,3133.34
2013/04/30,$50 notes,27000.62
2013/04/30,$100 notes,24540.59
2013/05/31,$5 notes,767.90
2013/05/31,$10 notes,1094.46
2013/05/31,$20 notes,3096.96
2013/05/31,$50 notes,26859.38
2013/05/31,$100 notes,24810.03
2013/06/30,$5 notes,767.82
2013/06/30,$10 notes,1090.36
2013/06/30,$20 notes,3088.61
2013/06/30,$50 notes,26987.30
2013/06/30,$100 notes,25009.31
2013/07/31,$5 notes,765.75
2013/07/31,$10 notes,1084.26
2013/07/31,$20 notes,3068.16
2013/07/31,$50 notes,27384.28
2013/07/31,$100 notes,25388.74
2013/08/31,$5 notes,768.79
2013/08/31,$10 notes,1094.23
2013/08/31,$20 notes,3107.93
2013/08/31,$50 notes,27712.73
2013/08/31,$100 notes,25598.33
2013/09/30,$5 notes,777.74
2013/09/30,$10 notes,1106.19
2013/09/30,$20 notes,3131.64
2013/09/30,$50 notes,27821.65
2013/09/30,$100 notes,25788.12
2013/10/31,$5 notes,788.65
2013/10/31,$10 notes,1120.13
2013/10/31,$20 notes,3151.23
2013/10/31,$50 notes,28109.87
2013/10/31,$100 notes,25927.47
2013/11/30,$5 notes,789.59
2013/11/30,$10 notes,1121.98
2013/11/30,$20 notes,3166.87
2013/11/30,$50 notes,28157.11
2013/11/30,$100 notes,26056.93
2013/12/31,$5 notes,827.57
2013/12/31,$10 notes,1163.93
2013/12/31,$20 notes,3514.66
2013/12/31,$50 notes,30675.45
2013/12/31,$100 notes,26836.46
2014/01/31,$5 notes,819.52
2014/01/31,$10 notes,1151.91
2014/01/31,$20 notes,3206.44
2014/01/31,$50 notes,28694.35
2014/01/31,$100 notes,26766.29
2014/02/28,$5 notes,812.43
2014/02/28,$10 notes,1139.78
2014/02/28,$20 notes,3118.06
2014/02/28,$50 notes,28302.18
2014/02/28,$100 notes,26795.67
2014/03/31,$5 notes,804.32
2014/03/31,$10 notes,1131.60
2014/03/31,$20 notes,3113.47
2014/03/31,$50 notes,28409.00
2014/03/31,$100 notes,26804.79
2014/04/30,$5 notes,815.23
2014/04/30,$10 notes,1141.47
2014/04/30,$20 notes,3249.13
2014/04/30,$50 notes,29327.26
2014/04/30,$100 notes,26954.22
2014/05/31,$5 notes,806.19
2014/05/31,$10 notes,1127.41
2014/05/31,$20 notes,3132.96
2014/05/31,$50 notes,28666.17
2014/05/31,$100 notes,26933.86
2014/06/30,$5 notes,803.11
2014/06/30,$10 notes,1115.32
2014/06/30,$20 notes,3100.63
2014/06/30,$50 notes,28734.59
2014/06/30,$100 notes,27023.85
2014/07/31,$5 notes,805.10
2014/07/31,$10 notes,1117.23
2014/07/31,$20 notes,3096.18
2014/07/31,$50 notes,28921.67
2014/07/31,$100 notes,27396.18
2014/08/31,$5 notes,806.06
2014/08/31,$10 notes,1123.17
2014/08/31,$20 notes,3095.98
2014/08/31,$50 notes,29189.91
2014/08/31,$100 notes,27445.38
2014/09/30,$5 notes,814.01
2014/09/30,$10 notes,1135.10
2014/09/30,$20 notes,3119.69
2014/09/30,$50 notes,29418.45
2014/09/30,$100 notes,27665.06
2014/10/31,$5 notes,818.98
2014/10/31,$10 notes,1143.05
2014/10/31,$20 notes,3151.45
2014/10/31,$50 notes,29787.34
2014/10/31,$100 notes,28054.74
2014/11/30,$5 notes,826.92
2014/11/30,$10 notes,1156.98
2014/11/30,$20 notes,3163.08
2014/11/30,$50 notes,29884.33
2014/11/30,$100 notes,28303.99
2014/12/31,$5 notes,853.90
2014/12/31,$10 notes,1202.93
2014/12/31,$20 notes,3430.85
2014/12/31,$50 notes,32162.98
2014/12/31,$100 notes,29203.63
2015/01/31,$5 notes,845.86
2015/01/31,$10 notes,1186.89
2015/01/31,$20 notes,3174.71
2015/01/31,$50 notes,30321.91
2015/01/31,$100 notes,29123.42
2015/02/28,$5 notes,835.81
2015/02/28,$10 notes,1172.81
2015/02/28,$20 notes,3114.44
2015/02/28,$50 notes,29960.48
2015/02/28,$100 notes,29462.66
2015/03/31,$5 notes,843.82
2015/03/31,$10 notes,1182.73
2015/03/31,$20 notes,3310.08
2015/03/31,$50 notes,31058.08
2015/03/31,$100 notes,29702.37
2015/04/30,$5 notes,838.79
2015/04/30,$10 notes,1172.70
2015/04/30,$20 notes,3189.89
2015/04/30,$50 notes,30286.84
2015/04/30,$100 notes,29681.81
2015/05/31,$5 notes,829.75
2015/05/31,$10 notes,1162.62
2015/05/31,$20 notes,3141.71
